Taxon name,N,0%,10%,25%,50%,75%,90%,100%
Myrica heterophylla,458,0.86,0.92,0.96,0.98,0.99,0.99,1.00
Myrica inodora,64,0.95,0.99,0.99,0.99,0.99,0.99,1.00
Myrica pensylvanica,193,0.92,0.94,0.95,0.97,0.98,0.98,1.00
Nolina bigelovii ,42,0.08,0.08,0.11,0.18,0.33,0.52,0.64
Nyssa aquatica ,700,0.86,0.88,0.92,0.96,0.99,0.99,1.00
Nyssa ogeche ,119,0.91,0.95,0.97,0.99,0.99,0.99,1.00
Nyssa sylvatica,2960,0.78,0.90,0.93,0.96,0.98,0.99,1.00
Olneya tesota,428,0.04,0.07,0.11,0.18,0.24,0.34,0.68
Opuntia fulgida ,224,0.06,0.17,0.20,0.27,0.37,0.48,0.63
Ostrya knowltonii,8,0.21,0.21,0.21,0.38,0.48,0.49,0.67
Ostrya virginiana,4747,0.31,0.90,0.94,0.96,0.98,0.99,1.00
Platanus occidentalis,3811,0.33,0.89,0.93,0.96,0.97,0.99,1.00
Populus balsamifera,8595,0.33,0.51,0.67,0.89,0.99,1.00,1.00
Populus fremontii ,333,0.05,0.14,0.22,0.33,0.48,0.64,0.97
Populus grandidentata,3057,0.74,0.94,0.96,0.98,0.99,0.99,1.00
Populus heterophylla,323,0.87,0.93,0.95,0.97,0.99,0.99,1.00
Populus tremuloides,11232,0.19,0.50,0.66,0.87,0.98,0.99,1.00
Prosopis juliflora ,3304,0.04,0.17,0.27,0.44,0.62,0.75,0.94
Prosopis pubescens,239,0.04,0.06,0.07,0.12,0.23,0.30,0.49
Prunus serotina ,5424,0.21,0.77,0.92,0.96,0.98,0.99,1.00
Ptelea trifoliata ,3023,0.15,0.52,0.82,0.94,0.96,0.99,1.00
Quercus agrifolia ,82,0.33,0.39,0.45,0.50,0.55,0.65,0.74
Quercus alba,3710,0.83,0.91,0.94,0.96,0.98,0.99,1.00
Quercus arizonica,94,0.27,0.35,0.44,0.53,0.67,0.80,0.92
Quercus arkansana ,20,0.90,0.90,0.90,0.91,0.94,0.99,0.99
Quercus bicolor,1294,0.86,0.94,0.95,0.97,0.97,0.98,1.00
Quercus chapmanii ,126,0.97,0.98,0.99,0.99,0.99,0.99,1.00
Quercus chrysolepis,189,0.09,0.47,0.54,0.65,0.71,0.76,0.83
Quercus coccinea,1391,0.86,0.94,0.95,0.97,0.98,0.99,1.00
Quercus douglasii ,91,0.18,0.38,0.44,0.52,0.57,0.64,0.71
Quercus dunnii ,40,0.35,0.37,0.41,0.49,0.55,0.65,0.74
Quercus durandii ,271,0.41,0.60,0.69,0.79,0.91,0.98,1.00
Quercus ellipsoidalis ,442,0.72,0.93,0.97,0.98,0.99,0.99,0.99
Quercus emoryi ,57,0.28,0.35,0.40,0.48,0.56,0.61,0.84
Quercus engelmannii ,8,0.36,0.36,0.38,0.45,0.51,0.52,0.53
Quercus falcata ,2009,0.81,0.88,0.91,0.95,0.97,0.99,1.00
Quercus gambelii ,503,0.11,0.32,0.42,0.54,0.67,0.83,0.99
Quercus garryana ,193,0.51,0.62,0.67,0.77,0.86,0.91,0.97
Quercus georgiana ,7,0.92,0.92,0.93,0.93,0.94,0.96,0.96
Quercus glaucoides ,32,0.22,0.23,0.55,0.61,0.67,0.72,0.77
Quercus gravesii ,8,0.21,0.21,0.22,0.31,0.36,0.41,0.41
Quercus grisea,44,0.22,0.28,0.38,0.55,0.73,0.83,0.95
Quercus havardii ,121,0.27,0.33,0.38,0.48,0.61,0.65,0.76
Quercus hypoleucoides ,55,0.23,0.40,0.43,0.51,0.56,0.63,0.97
Quercus ilicifolia ,307,0.92,0.94,0.96,0.97,0.98,0.99,1.00
