"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"texana",23734795,"Harvard",1844,0,0,"1844-00-00","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734795",NA,NA,"county_centroid"
"texana",24642045,"NY",1981,7,21,"1981-07-21","Texas","refugio ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24642045",NA,NA,"county_centroid"
"texana",23734801,"Harvard",NA,NA,NA,"","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734801",NA,NA,"county_centroid"
"texana",23734805,"Harvard",1910,3,24,"1910-03-24","Texas","victoria ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734805",NA,NA,"county_centroid"
"texana",23734803,"Harvard",1928,5,9,"1928-05-09","Texas","frio ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734803",NA,NA,"county_centroid"
"texana",23734806,"Harvard",1910,3,24,"1910-03-24","Texas","victoria ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734806",NA,NA,"county_centroid"
"texana",23734804,"Harvard",1910,3,24,"1910-03-24","Texas","victoria ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734804",NA,NA,"county_centroid"
"texana",23734798,"Harvard",1885,5,0,"1885-05-00","Texas","kimble ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734798",NA,NA,"county_centroid"
"texana",23734813,"Harvard",1910,11,16,"1910-11-16","Texas","lampasas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734813",NA,NA,"county_centroid"
"texana",23734809,"Harvard",1945,5,30,"1945-05-30","Texas","wilson ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734809",NA,NA,"county_centroid"
"texana",23734808,"Harvard",1945,4,10,"1945-04-10","Texas","aransas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734808",NA,NA,"county_centroid"
"texana",23734793,"Harvard",1931,2,21,"1931-02-21","Texas","llano ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734793",NA,NA,"county_centroid"
"texana",23734811,"Harvard",1932,4,3,"1932-04-03","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734811",NA,NA,"county_centroid"
"texana",23734814,"Harvard",1910,3,26,"1910-03-26","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734814",NA,NA,"county_centroid"
"texana",23734799,"Harvard",NA,NA,NA,"","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734799",NA,NA,"county_centroid"
"texana",23734807,"Harvard",1885,5,0,"1885-05-00","Texas","llano ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734807",NA,NA,"county_centroid"
"texana",23734802,"Harvard",1915,4,8,"1915-04-08","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734802",NA,NA,"county_centroid"
"texana",23734794,"Harvard",1928,5,14,"1928-05-14","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734794",NA,NA,"county_centroid"
"texana",23734810,"Harvard",1987,7,26,"1987-07-26","Texas","goliad ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23734810",NA,NA,"county_centroid"
"alleghaniensis",23728979,"Harvard",NA,NA,NA,"","Pennsylvania","huntingdon ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23728979",NA,NA,"county_centroid"
"alleghaniensis",24888909,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888909",NA,NA,"county_centroid"
"alleghaniensis",22819419,"VPI",NA,NA,NA,"","Virginia","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22819419",NA,NA,"county_centroid"
"alleghaniensis",24888896,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888896",NA,NA,"county_centroid"
"alleghaniensis",23728981,"Harvard",NA,NA,NA,"","Virginia","bath ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23728981",NA,NA,"county_centroid"
"alleghaniensis",23603148,"Harvard",1899,9,10,"1899-09-10","Connecticut","fairfield ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23603148",NA,NA,"county_centroid"
"alleghaniensis",6461682,"NY",1981,NA,NA,"","Maryland","washington ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6461682",NA,NA,"county_centroid"
"alleghaniensis",24496469,"CHRB",NA,NA,NA,"","New Jersey","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24496469",NA,NA,"county_centroid"
"alleghaniensis",24888913,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888913",NA,NA,"county_centroid"
"alleghaniensis",23728992,"Harvard",NA,NA,NA,"","Michigan","cheboygan ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23728992",NA,NA,"county_centroid"
"alleghaniensis",24888884,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888884",NA,NA,"county_centroid"
"alleghaniensis",24888905,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888905",NA,NA,"county_centroid"
"alleghaniensis",16571779,"VDB",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16571779",NA,NA,"county_centroid"
"alleghaniensis",20622913,"WVA",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20622913",NA,NA,"county_centroid"
"alleghaniensis",22819427,"VPI",NA,NA,NA,"","Virginia","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22819427",NA,NA,"county_centroid"
"alleghaniensis",24888887,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888887",NA,NA,"county_centroid"
"alleghaniensis",24888901,"PAC",NA,NA,NA,"","Pennsylvania","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24888901",NA,NA,"county_centroid"
