Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone
20-88*A,20-88,Rosaceae,Prunus,alleghaniensis,,Prunus alleghaniensis,Tentatively accepted name,"Fernald, M.L. 1970. Gray's Manual of Botany. (8th, Corrected Printing). New York Cincinnati Toronto London Melbourne: Van Nostrand Reinhold Company. 1632 pp. Illus. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,Prunus alleghaniensis var. porter,"Allegheny Plum, Sloe",Shrub,20-88,1/5/88,Division,Prunus alleghaniensis,Pr. alleghan.,,,Collected directly from the wild; origin known,,,,1987 Southeastern States Expedition,,,,,,"Nicholson, R",,,United States,"Virginia, Montgomery County",,"Falls River Nature Preserve, near Ironto.",,,,,,On a xeric slope in partial shade .,shale soil,"Small stand of 20 shoot, possibly fewer plants as suckering.",,"Pinus virginiana, Viburnum prunifolium",BR-16-SE,BR-16-SE,,42.30194341,-71.11769674,6/11/18,Fair,,6/11/18,21.2,C,Basal,,,,,,,,,1.8
208-2013*B,208-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,208-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",AMES 32079,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Along Old Channel Creek, near Sand Creek Bottom Road, NE 1/4 of SW 1/4 of SE 1/4 of Section 27, Connesville Quad",40.318055,-92.672499,235,M,,,,Fruit diameter ranged between 18 mm and 22 mm. Fruits slightly oblong (2 mm longer than wide). Approximately 20 feet in height and 20 feet in spread. Leaves papery thin to the touch and glabrous.,Abundant fruit production. Fruits mostly green or starting to turn red at time of collection.,"Acer saccharinum, Parthenocissus sp., Solidago sp., Ulmus sp., Vitis riparia",49-SE,49,SE,42.29470474,-71.12915421,3/11/20,Alive,,6/18/19,,,,,1.8,M,C,,,,,4.6
975-82*B,975-82,Rosaceae,Prunus,cerasifera,,Prunus cerasifera,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus myrobalana,"Cherry Plum, Myrobalan Plum, Variant of Myrobalan Plum",Intermediate (shrub/tree),975-82,8/9/82,Seed,Prunus cerasifera,Pr. cerasif.,,,Collected directly from the wild; origin known,,,,"Botanic Garden of the University of, DK-1353 Copenhagen K, Denmark",,,,,2023,,,7/1/81,Denmark,,,Prambroen,,,,,,,,,,,BR-22-NE,BR-22-NE,,42.30173293,-71.1176008,4/18/18,Fair,,4/18/18,"13.6, ",C,,,,,,,,,,1.8
435-2016*A,139-83,Rosaceae,Prunus,stepposa,,Prunus stepposa,Accepted name,"Taylor, G. 1959. Index Kewensis, Supplement 12. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,435-2016,3/1/16,Scion,Prunus stepposa,Pr. stepposa,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Botanic Garden, M.V.Lomonosov Mosco, Moscow, Russian Federation",,,,,,,,7/1/79,Ukraine,"Crimea, Krim-Taurien",,(Tauria),,,,,,,,,,,49-NE,49,NE,42.29489945,-71.12846824,3/11/20,Alive,,6/18/19,,,,,2.5,M,C,,,,,4.6
356-94*A,356-94,Rosaceae,Prunus,spinosa,,Prunus spinosa,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Davis, P.H. 1972. Flora of Turkey and East Aegean islands. Rosaceae to Dipsacaceae. Volume 4. 657 pp. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,Prunus kurdica,"Blackthorn, Sloe",Intermediate (shrub/tree),356-94,5/19/94,Seed,Prunus spinosa,Pr. spinosa,,,Collected directly from the wild; origin known,,,,"Jardin Botanique de la Ville, 21033 Dijon - Mairie, France",,,,1994,2874,,,,France,"Bourgogne, Cote-d'Or, Pasques",,(Pasques Department),,,,,,,,,,,49-NE,49,NE,42.29501054,-71.12911556,7/30/15,Poor,,7/30/15,13.5,C,basal,,,,,,,,,4.6
602-2008*A,602-2008,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,602-2008,10/16/08,Seed,Prunus serotina,Pr. serotina,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,62,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",62,10/9/08,United States,"New York, Essex Co., Keene Valley",,"24. Noonmark Mountain Trail - Au Sauble River Valley, off of NYS Route 73, in the Keene Valley, above Roaring Brook.",44.149783,-73.767833,383,M,0?°,Growing in full light,Sandy with high organic matter,Tree with single stems. 9.0 m in height with a D.B.H. of 12.7 cm. Dark brown-black textured bark.,,"Acer saccharum, Betula papyrifera, Fraxinus americana, Prunus serotina, Prunus virginiana, Tsuga canadensis, Ulmus americana",WH2-NE,WH2,NE,42.29589926,-71.13152795,7/25/18,Alive,,7/10/13,5.3,C,basal,,,,,,,,,7.1
670-2016*A,670-2016,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),670-2016,9/16/16,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Stephen Schneider, Arnold Arboretum of Harvard Univers, Boston, MA, United States",,,,,,,16-10-1,,Georgia,,,,,,,,,,,,,,49-SE,49,SE,42.29444295,-71.12929824,3/11/20,Alive,,6/17/19,,,,,1.9,M,C,,,,,4.6
670-2016*B,670-2016,Rosaceae,Prunus,mahaleb,,Prunus mahaleb,Accepted name,"Tutin, T.G., V.H. Heywood &amp; [Editors] 1968. Flora Europaea. Volume 2. Rosaceae To Umbelliferae. Cambridge: Cambridge University Press. 455 pp. * Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,St. Lucie Cherry,Intermediate (shrub/tree),670-2016,9/16/16,Seed,Prunus mahaleb,Pr. mahaleb,,,Collected directly from the wild; origin known,,,,"Stephen Schneider, Arnold Arboretum of Harvard Univers, Boston, MA, United States",,,,,,,16-10-1,,Georgia,,,,,,,,,,,,,,49-SE,49,SE,42.29446553,-71.12915235,3/11/20,Alive,,6/17/19,,,,,1.8,M,C,,,,,4.6
114-2010*C,114-2010,Rosaceae,Prunus,virginiana,,Prunus virginiana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Common Chokecherry,Intermediate (shrub/tree),114-2010,3/15/10,Seed,Prunus pumila,Pr. virginiana,,,Collected directly from the wild; origin known,XX,X,SA,"Botanic Garden of Smith College, Northampton, MA, United States",,,,10-Sep,87,,,7/1/09,United States,"Michigan, Alpena County",,Rockport Quarry.,45.2,-83.383333,198,M,,Abandoned limestone quarry.,,,,,BR-16-SE,BR-16-SE,,42.30236754,-71.11781118,7/10/18,Fair,,7/10/18,1.8,C,,,2.8,M,C,,,,,1.8
136-2015*C,613-78,Rosaceae,Prunus,sogdiana,,Prunus sogdiana,Accepted name,"Taylor, G. 1966. Index Kewensis, Supplement 13. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,136-2015,7/6/15,Cutting,Prunus sogdiana,Pr. sogdiana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Cary Arboretum, Millbrook, NY, United States",,,,,,,,,Kyrgyzstan,"Kirghiz Soviet Socialist Republic, Sary Chelec Reserve",,Kirgizskiy Range [Khrebet] of the W Tien Shan Mts.,,,1800-1900,M,,,,,,,22-NE,22,NE,42.30142063,-71.11799903,4/9/19,Alive,,7/10/18,,,,,2.4,M,C,,,,,1.1
136-2015*D,613-78,Rosaceae,Prunus,sogdiana,,Prunus sogdiana,Accepted name,"Taylor, G. 1966. Index Kewensis, Supplement 13. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,136-2015,7/6/15,Cutting,Prunus sogdiana,Pr. sogdiana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Cary Arboretum, Millbrook, NY, United States",,,,,,,,,Kyrgyzstan,"Kirghiz Soviet Socialist Republic, Sary Chelec Reserve",,Kirgizskiy Range [Khrebet] of the W Tien Shan Mts.,,,1800-1900,M,,,,,,,50-NW,50,NW,42.29485288,-71.12840585,3/11/20,Alive,,6/18/19,,,,,1.7,M,C,,,,,4.6
1777-77*C,1777-77,Rosaceae,Prunus,grayana,,Prunus grayana,Accepted name,"eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Gray's Chokecherry, Grays Chokecherry, Japanese Bird Cherry",Tree,1777-77,9/21/77,Seed,Prunus grayana,Pr. grayana,,,Collected directly from the wild; origin known,,,,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S. A. and Weaver, R. E.",177,9/14/77,Japan,Honshu,,Mt. Hakkoda,,,950-1500,M,,,,,,,26-NW,26,NW,42.30038803,-71.1235567,9/7/17,Good,,9/7/17,"25.7, ",C,,,,,,,,,,2.1
15548*A,15548,Rosaceae,Prunus,serotina,,Prunus serotina,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Black Cherry,Tree,15548,4/12/23,Plant,Prunus angustifolia,Pr. serotina,,,Collected directly from the wild; origin known,,,,"State Forest, Henryville, IN, United States",,,,,,,,,United States,"Indiana, Henryville",,State Forest,,,,,,,,,,,19-NE,19,NE,42.30161853,-71.12422089,6/14/17,Good,,6/14/17,146.4,C,,,,,,,,,,2.1
16694*A,16694,Rosaceae,Prunus,grayana,,Prunus grayana,Accepted name,"eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA. * Iwatsuki, K., D.E. Boufford &amp; H. Ohba 2001. Flora of Japan, Vol. IIb. Angiospermae, Dicotyledoneae, Archichlamydeae(b). Kodansha Ltd. * Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Gray's Chokecherry, Grays Chokecherry, Japanese Bird Cherry",Tree,16694,2/15/15,Seed,Prunus grayana,Pr. grayana,,,Collected directly from the wild; origin known,,,,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",7558,7/1/14,Japan,"Hondo, Hayachine-san",,,,,,,,,,,,,BR-16-SE,BR-16-SE,,42.30230296,-71.11737185,7/9/18,Fair,,7/9/18,82.4,C,basal,,,,,,,,,1.8
136-2015*E,613-78,Rosaceae,Prunus,sogdiana,,Prunus sogdiana,Accepted name,"Taylor, G. 1966. Index Kewensis, Supplement 13. Oxford: Clarendon Press. * Czerepanov, S.K. 1973. Svod dopolneniy i izmeneniy k ""Flore SSSR"" (t.1-30). Additions and Changes to the Flora of the USSR (v.1-30). Leningrad, USSR: Nauka. 668 pp.",,,,Tree,136-2015,7/6/15,Cutting,Prunus sogdiana,Pr. sogdiana,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Cary Arboretum, Millbrook, NY, United States",,,,,,,,,Kyrgyzstan,"Kirghiz Soviet Socialist Republic, Sary Chelec Reserve",,Kirgizskiy Range [Khrebet] of the W Tien Shan Mts.,,,1800-1900,M,,,,,,,49-NE,49,NE,42.29479499,-71.12847821,3/11/20,Alive,,6/18/19,,,,,1.7,M,C,,,,,4.6
207-2011*C,207-2011,Rosaceae,Prunus,maritima,,Prunus maritima,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Beach Plum,Shrub,207-2011,7/8/11,Plant,Prunus maritima,Pr. maritima,,,Collected directly from the wild; origin known,,,,"Polly Hill Arboretum, West Tisbury, MA, United States",,,,,,"Boland, T. M.",,8/18/10,United States,"Massachusetts, Dukes County, Edgartown",,"Martha's Vineyard Island, North Neck Road, Chappaquiddick.",41.393357,-70.4712,,,,,,"Tree 1.5m height, 2.0m width",,,49-NW,49,NW,42.294912,-71.12953213,3/31/16,Alive,,8/4/15,,,,,1.0-2.,M,C,,,,,4.6
210-2013*A,210-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,210-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",Ames 32077,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Property of Prairie Garden Trust (Henry and Lorna Domke), New Bloomfield Quad, northeast of New Bloomfield, Callaway County.",38.741111,-92.031111,235,M,,"Numerous specimens scattered throughout property, but localized/common to small drainage ditches.",,Specimen 1: fruit diameter ranged between 17 mm-20 mm; approximately 20 feet in height and 20 feet in spread; leaves papery thin to the touch and glabrous. Specimen 2: fruit diameter ranged between 15 mm and 17 mm; fruits mostly red. Specimen 3: fruit diameter ranged between 18 mm and 19 mm; fruits mostly red. Specimen 4: fruit diameter ranged between 18 mm and 19 mm; fruits mostly green (a few re,"Latitude and longitude averaged between the six specimens collected. Specimen 1: half ripe, shiny-red fruits (not waxy) and half green fruits; a few fruits already on ground, abundant fruit production at time of collection. Specimen 5: fruits mostly green with a few starting to turn red at time of collection.","Carya ovata, Cornus florida, Diospyros virginiana, Juglans nigra, Juniperus virginiana, Prunus serotina, Quercus imbricaria, Robinia pseudoacacia, Toxicodendron radicans",22-NE,22,NE,42.30150371,-71.1175411,7/10/18,Good,,7/10/18,5.9,C,basal,,2.3,M,C,,,,,1.1
210-2013*D,210-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,210-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",Ames 32077,,,,,"Carstens, J.",,8/14/13,United States,Missouri,,"Property of Prairie Garden Trust (Henry and Lorna Domke), New Bloomfield Quad, northeast of New Bloomfield, Callaway County.",38.741111,-92.031111,235,M,,"Numerous specimens scattered throughout property, but localized/common to small drainage ditches.",,Specimen 1: fruit diameter ranged between 17 mm-20 mm; approximately 20 feet in height and 20 feet in spread; leaves papery thin to the touch and glabrous. Specimen 2: fruit diameter ranged between 15 mm and 17 mm; fruits mostly red. Specimen 3: fruit diameter ranged between 18 mm and 19 mm; fruits mostly red. Specimen 4: fruit diameter ranged between 18 mm and 19 mm; fruits mostly green (a few re,"Latitude and longitude averaged between the six specimens collected. Specimen 1: half ripe, shiny-red fruits (not waxy) and half green fruits; a few fruits already on ground, abundant fruit production at time of collection. Specimen 5: fruits mostly green with a few starting to turn red at time of collection.","Carya ovata, Cornus florida, Diospyros virginiana, Juglans nigra, Juniperus virginiana, Prunus serotina, Quercus imbricaria, Robinia pseudoacacia, Toxicodendron radicans",49-NE,49,NE,42.29484392,-71.12849956,4/9/19,Alive,,7/10/18,,,,,2.5,M,C,,,,,4.6
209-2013*C,209-2013,Rosaceae,Prunus,hortulana,,Prunus hortulana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,"Wild Goose Plum, Hortulan Plum",Tree,209-2013,8/30/13,Seed,Prunus hortulana,Pr. hortulana,,,Collected directly from the wild; origin known,,,,"USDA-ARS North Central Regional Pla, Ames, IA, United States",Ames 32078,,,,,"Carstens, J.",,,United States,Missouri,,"Specimen 1 along South Rangeline Road, SW 1/4 of Section 30; Specimen 2 along State Road H (East Englewood Road), NW 1/4 of SE 1/4 of Section 30; Specimen 3 near State Road H (East Englewood Road), SE 1/4 of NE 1/4 of SE 1/4 of Section 30; Specimen 4 along South Rangeline Road, near airport, NW 1/4 of NW 1/4 of NW 1/4 of Section 30; Millersburg SW Quad, Boone County.",38.823888,-92.203611,267,M,,"Specimen 1 growing roadside, associated with Festuca and Solidago. Specinen 2 growing roadside.",,Specimen 1: fruit diameter ranged between 18 mm and 20 mm; fruits approximately 1 mm wider than long; approximately 10 feet in height and 6 feet in spread; leaves papery thin to the touch and glabrous; purple-copper colored bark with obvious lenticels. Specimen 2: fruit diameter ranged between 19 mm and 22 mm; approximately 15 feet in height and 10 feet in spread; leaves papery thin to the touch a,"Latitude, longitude, and elevation averaged between the four specimens collected. Specimen 1: half ripe, shiny-red fruits (not waxy) and half green fruits; few fruits already on ground; low to moderate fruit production at time of collection. Specimen 2: majority of fruits ripe, shiny-red fruits (not waxy) to dull-red colored fruits; fruits easily fell by disturbing branches; numerous fruits alread","Celtis occidentalis, Juniperus virginiana, Lonicera maackii, Quercus bicolor, Salix sp., Toxicodendron radicans, Ulmus sp., Vitis riparia",49-SE,49,SE,42.29460615,-71.12933475,4/1/17,Alive,,7/6/16,,,,,1.5,M,C,,,,,4.6
439-2008*D,439-2008,Rosaceae,Prunus,maritima,,Prunus maritima,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Beach Plum,Shrub,439-2008,9/29/08,Seed,Prunus maritima,Pr. maritima,,,Collected directly from the wild; origin known,XX,X,SA,"Mrs. Irina Kadis, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Kadis, I.",,9/26/08,United States,"Massachusetts, Norfolk Co., Quincy",,Nut Island,,,,,,Ocean beach,,,,,49-SE,49,SE,42.29466714,-71.12944718,4/15/16,Alive,,,,,,,,,,,,,,4.6
611-2016*B,727-90,Rosaceae,Prunus,pumila,Gus Mehlquist,Prunus pumila var. depressa 'Gus Mehlquist',Accepted name,"2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * 1993. Proceedings of the International Plant Propagators' Society 43.",,Prunus depressa 'Gus Mehlquist',Cultivar of sprawling sand cherry,Shrub,611-2016,6/30/16,Cutting,Prunus pumila var. depressa 'Gus Mehlquist',Pr. pum. depr. 'Gus Mehlquist',var.,depressa,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. Robert G. Nicholson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Boufford, D., & Nicholson, R.",,5/4/90,United States,"New Hampshire, Cheshire/Walpole",,Shore of Ct. River just below hydroelectric dam.,,,90,M,,Boulder strewn shore of river with mixed scrub and herb cover.,,,Thick taproots; difficult to remove good root mass.,,WH1-NE,WH1,NE,42.29608464,-71.13355546,4/4/19,Alive,,,,,,,,,,,,,,7.1
439-2008*B,439-2008,Rosaceae,Prunus,maritima,,Prunus maritima,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * 2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1. * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Beach Plum,Shrub,439-2008,9/29/08,Seed,Prunus maritima,Pr. maritima,,,Collected directly from the wild; origin known,XX,X,SA,"Mrs. Irina Kadis, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Kadis, I.",,9/26/08,United States,"Massachusetts, Norfolk Co., Quincy",,Nut Island,,,,,,Ocean beach,,,,,BR-16-SE,BR-16-SE,,42.30209971,-71.11747843,7/9/18,Fair,,7/9/18,,,,,1.7,M,C,,,,,1.8
398-85*A,704-33,Rosaceae,Prunus,alleghaniensis,,Prunus alleghaniensis var. davisii,Tentatively accepted name,"2015. Flora of North America Volume 9. Crossosomataceae, Picramniaceae, Rosaceae, and Staphlyeaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1009&amp;flora_id=1.",,,Davis Allegheny Plum,Shrub,398-85,4/2/85,Scion,Prunus alleghaniensis var. davisii,Pr. allegh. var. davisii,var.,davisii,From a cultivated plant of known (indirect) wild origin,VO,,V,"Dr. Ernest J. Palmer, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Palmer, E. J.",40469,,United States,"Michigan, Walhalla",,,,,,,,,,,,,BR-17-SW,BR-17-SW,,42.30224701,-71.11706925,6/12/18,Good,,6/12/18,44,C,,,,,,,,,,1.21.C
