"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,13573864,"TEX",NA,NA,NA,"","Texas","angelina","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573864",-94.6153861578116,31.2764475140272,"county_centroid"
"mexicana",200,12508922,"DUKE",NA,NA,NA,"","Mississippi","amite","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508922",-90.8094826630169,31.1763376449972,"county_centroid"
"mexicana",200,12877131,"UARK",NA,NA,NA,"","Arkansas","little river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877131",-94.2431688660344,33.7094300838337,"county_centroid"
"mexicana",200,11406031,"UCAC",2002,8,7,"2002-08-07","Arkansas","yell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11406031",-93.413702711886,35.0045598183947,"county_centroid"
"mexicana",200,10360301,"DSC",2006,11,7,"2006-11-07","Mississippi","bolivar","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10360301",-90.8875126034409,33.8004516910641,"county_centroid"
"mexicana",200,13573866,"TEX",1926,0,0,"1926-00-00","Texas","dallas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573866",-96.7794608509167,32.7674282217554,"county_centroid"
"mexicana",200,19446376,"BEREA",NA,NA,NA,"","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446376",-92.1593802032179,32.4833014034865,"county_centroid"
"mexicana",200,11535436,"LSU",1977,4,26,"1977-04-26","Wisconsin","dane","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436",-89.4205038345403,43.0681614498418,"county_centroid"
"mexicana",200,22519514,"KANU",2005,4,16,"2005-04-16","Kansas","Jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22519514",-95.5969444,39.4488889,"geo_referenced"
"mexicana",200,12911151,"UARK",NA,NA,NA,"","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911151",-92.9415163009449,34.9423457912257,"county_centroid"
"mexicana",200,11405926,"UCAC",2002,8,9,"2002-08-09","Arkansas","yell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405926",-93.413702711886,35.0045598183947,"county_centroid"
"mexicana",200,5465862,"EKY",1988,8,24,"1988-08-24","Kentucky","estill","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465862",-83.9613222656233,37.6916330070411,"county_centroid"
"mexicana",200,16080187,"FLAS",2010,6,4,"2010-06-04","Georgia","peach","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080187",-83.833660181432,32.5742911876978,"county_centroid"
"mexicana",200,15369792,"NCU",1977,5,16,"1977-05-16","Arkansas","hempstead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369792",-93.6685350705301,33.7357778292865,"county_centroid"
"mexicana",200,14221706,"BRIT",1979,3,14,"1979-03-14","Texas","Smith","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14221706",-95.269183,32.375035,"geo_referenced"
"mexicana",200,10246797,"APCR",NA,NA,NA,"","Arkansas","cleburne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246797",-92.0413208110853,35.5298264683868,"county_centroid"
"mexicana",200,7380353,"EKY",2008,6,7,"2008-06-07","Virginia","Dickenson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7380353",-82.29075,37.29975,"geo_referenced"
"mexicana",200,16920062,"NCU",NA,NA,NA,"","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920062",-92.1593802032179,32.4833014034865,"county_centroid"
