"","specificEpithet","id","references","obs_number","pental_lengh_mm","who_done_it","note"
"197","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189",4,3,"SC",""
"198","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190",5,3.606,"SC",""
"199","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620191",6,3.432,"SC",""
"200","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620192",7,4.534,"SC",""
"201","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620193",8,3.162,"SC",""
"202","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620194",9,2.357,"SC",""
"203","mexicana",22620186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195",10,4.014,"SC",""
"204","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877054",1,3.671,"SC",""
"205","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877055",2,5.192,"SC",""
"206","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877056",3,5.523,"SC",""
"207","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877057",4,4.134,"SC",""
"208","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877058",5,3.488,"SC",""
"209","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877059",6,3.671,"SC",""
"210","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877060",7,4.298,"SC",""
"211","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877061",8,3.001,"SC",""
"212","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877062",9,3.733,"SC",""
"213","mexicana",12877054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877063",10,4.707,"SC",""
"214","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926",1,8.193,"SC",""
"215","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894927",2,4.48,"SC",""
"216","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894928",3,5.026,"SC",""
"217","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894929",4,8.484,"SC",""
"218","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894930",5,6.056,"SC",""
"219","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894931",6,6.707,"SC",""
"220","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894932",7,5.261,"SC",""
"221","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933",8,4.991,"SC",""
"222","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894934",9,5.294,"SC",""
"223","mexicana",5894926,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894935",10,4.159,"SC",""
"224","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705",1,3.536,"SC",""
"225","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876706",2,4.472,"SC",""
"226","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876707",3,4.301,"SC",""
"227","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876708",4,5.099,"SC",""
"228","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876709",5,4.95,"SC",""
"229","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876710",6,3.202,"SC",""
"230","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876711",7,3,"SC",""
"231","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876712",8,5.025,"SC",""
"232","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876713",9,3.536,"SC",""
"233","mexicana",25876705,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876714",10,4,"SC",""
"234","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933",1,4.111,"SC",""
"235","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894934",2,3.158,"SC",""
"236","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894935",3,3.684,"SC",""
"237","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894936",4,5.263,"SC",""
"238","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894937",5,4.34,"SC",""
"239","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894938",6,4.243,"SC",""
"240","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894939",7,4.008,"SC",""
"241","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894940",8,4.737,"SC",""
"242","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894941",9,5.367,"SC",""
"243","mexicana",5894933,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894942",10,3.684,"SC",""
