"","specificEpithet","id","references","fruit_type","obs_number","fruit_diam_mm","who_done_it","note","certain"
"74","americana",24685186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24685187","pit",2,5.019,"SC","","U"
"75","americana",24685186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24685188","pit",3,5.11,"SC","","U"
"76","americana",24685186,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24685189","pit",4,4,"SC","","U"
"77","americana",24451876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24451876","dried",1,22.018,"SC","",""
"78","americana",24451876,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24451877","dried",2,17.989,"SC","",""
"79","americana",22619968,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22619968","dried",1,17.211,"SC","",""
"80","americana",22619968,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22619969","dried",2,17.033,"SC","",""
"81","americana",16894813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894813","pit",1,2.924,"SC","",""
"82","americana",16894813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894814","pit",2,3.599,"SC","",""
"83","americana",16894813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894815","pit",3,2.901,"SC","",""
"84","americana",16894813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16894816","pit",4,3.373,"SC","",""
"85","americana",13273682,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273682","dried",1,14.558,"SC","",""
"86","americana",13273682,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273683","dried",2,16.863,"SC","",""
"87","americana",4991690,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991690","fleshy",1,15.349,"SC","",""
"88","americana",4991690,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991691","fleshy",2,13.517,"SC","",""
"89","americana",4991690,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991692","fleshy",3,15.017,"SC","",""
"90","americana",4991690,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991693","fleshy",4,15.157,"SC","",""
"91","americana",5465774,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465774","dried",1,15.728,"SC","",""
"92","americana",5803595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5803595","pit",1,8.149,"SC","",""
"93","americana",5894074,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894074","fleshy",1,22.146,"SC","",""
"94","americana",13273686,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273686","pit",1,3.142,"SC","would this be pit? at the end of flowering","U"
"95","americana",13273686,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273687","pit",2,5.464,"SC","","U"
"96","americana",13273686,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273688","pit",3,3.827,"SC","","U"
"97","americana",13273686,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273689","pit",4,3.857,"SC","","U"
"98","americana",19850892,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19850892","dried",1,9.625,"SC","pit or dried?","U"
"99","americana",19850892,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19850893","dried",2,9.358,"SC","","U"
"100","americana",21298176,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21298176","dried",1,13.252,"SC","",""
"101","americana",20393204,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393204","",NA,NA,"SC","doesn't have any fruit",""
"102","americana",19444193,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444193","pit",1,7.712,"SC","or dried?","U"
"103","americana",13273109,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273109","fleshy",1,14.685,"SC","",""
"104","americana",3849054,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3849054","fleshy",1,15.91,"SC","",""
"105","americana",22694761,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694761","dried",1,7.123,"SC","",""
"106","americana",22694761,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694762","dried",2,6.52,"SC","",""
"107","americana",4979191,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4979191","dried",1,7.123,"SC","",""
"108","americana",4979191,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4979192","dried",2,6.52,"SC","",""
