"Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruit_bin"
"Myricaceae","Myrica","gale","wind","pro",1.5,"dioecious",4.5,7.5,"intolerant","Myrica_gale",1,1,1,"0shrub",0,1,0,0
"Juglandaceae","Carya","lacinosa","wind","syn",25,"monoecious",5.5,10,"tolerant","Carya_lacinosa",0,1,1,"2talltree",1,1,1,1
"Juglandaceae","Carya","ovata","wind","syn",25,"monoecious",5.5,10,"tolerant","Carya_ovata",0,1,1,"2talltree",1,1,1,1
"Juglandaceae","Carya","cordiformis","wind","syn",26,"monoecious",5.5,10,"tolerant","Carya_cordiformis",0,1,1,"2talltree",1,1,1,1
"Juglandaceae","Carya","glabra","wind","syn",22,"monoecious",5.5,10,"moderately_tolerant","Carya_glabra",0,1,1,"2talltree",1,1,1,1
"Juglandaceae","Juglans","cinerea","wind","syn",18,"monoecious",5,10,"intolerant","Juglans_cinerea",0,1,1,"1smalltree",1,1,0,1
"Juglandaceae","Juglans","nigra","wind","syn",28,"monoecious",5,10,"intolerant","Juglans_nigra",0,1,1,"2talltree",1,1,0,1
"Betulaceae","Alnus","viridis","wind","syn",3,"monoecious",5.5,9.5,"intolerant","Alnus_viridis",0,1,1,"0shrub",0,1,0,1
"Betulaceae","Alnus","incana","wind","pro",8,"monoecious",4,9,"intolerant","Alnus_incana",1,1,1,"0shrub",0,1,0,1
"Betulaceae","Alnus","glutinosa","wind","pro/syn",18,"monoecious",4,9.5,"intolerant","Alnus_glutinosa",1,1,1,"1smalltree",1,1,0,1
"Betulaceae","Corylus","americana","wind","pro",3,"monoecious",3.5,8.5,"intolerant","Corylus_americana",1,1,1,"0shrub",0,1,0,0
"Betulaceae","Corylus","cornuta","wind","pro",4,"monoecious",4.5,8.5,"intolerant","Corylus_cornuta",1,1,1,"0shrub",0,1,0,0
"Betulaceae","Ostrya","virginiana","wind","syn",16,"monoecious",4.5,9,"tolerant","Ostrya_virginiana",0,1,1,"1smalltree",1,1,1,1
"Betulaceae","Carpinus","caroliniana","wind","syn",10,"monoecious",4.5,6,"tolerant","Carpinus_caroliniana",0,1,1,"1smalltree",0,1,1,0
"Betulaceae","Betula","alleghaniensis","wind","pro",30,"monoecious",4.5,8,"moderately_tolerant","Betula_alleghaniensis",1,1,1,"2talltree",1,1,1,0
"Betulaceae","Betula","nigra","wind","pro/syn",18,"monoecious",4,5.5,"intolerant","Betula_nigra",1,1,1,"1smalltree",1,1,0,0
"Betulaceae","Betula","papyrifera","wind","pro/syn",22,"monoecious",4.5,8.5,"intolerant","Betula_papyrifera",1,1,1,"2talltree",1,1,0,0
"Betulaceae","Betula","pendula","wind","pro/syn",15,"monoecious",4,8.5,"intolerant","Betula_pendula",1,1,1,"1smalltree",0,1,0,0
"Rhamnaceae","Frangula","alnus","insect","ser",6,"perfect",6,7.5,"moderately_tolerant","Frangula_alnus",0,0,0,"0shrub",0,0,1,0
"Rhamnaceae","Rhamnus","alnifolia","insect","syn",2,"dioecious",5.5,8.5,"intolerant","Rhamnus_alnifolia",0,1,0,"0shrub",0,1,0,0
"Rhamnaceae","Rhamnus","cathartica","insect","syn",7,"dioecious",5,8.5,"tolerant","Rhamnus_cathartica",0,1,0,"0shrub",0,1,1,0
"Elaeagnaceae","Shepherdia","canadensis","insect","pro",3,"dioecious",4.5,7.5,"intolerant","Shepherdia_canadensis",1,1,0,"0shrub",0,1,0,0
"Ulmaceae","Ulmus","thomasii","wind","pro",22,"perfect",4.5,5,"moderately_tolerant","Ulmus_thomasii",1,1,1,"2talltree",1,0,1,0
"Ulmaceae","Ulmus","americana","wind","pro",30,"perfect",3.5,5,"moderately_tolerant","Ulmus_americana",1,1,1,"2talltree",1,0,1,0
"Ulmaceae","Ulmus","rubra","wind","pro",24,"perfect",3.5,5,"moderately_tolerant","Ulmus_rubra",1,1,1,"2talltree",1,0,1,0
"Ulmaceae","Ulmus","pumila","wind","pro",26,"perfect",3.5,4,"moderately_tolerant","Ulmus_pumila",1,1,1,"2talltree",1,0,1,0
"Cannabaceae","Celtis","occidentalis","wind","syn/ser",15,"monoecious",5,9.5,"moderately_tolerant","Celtis_occidentalis",0,0,1,"1smalltree",0,1,1,1
"Cannabaceae","Celtis","tenufolia","wind","syn/ser",6,"monoecious",5,9,"moderately_tolerant","Celtis_tenufolia",0,0,1,"0shrub",0,1,1,1
"Moraceae","Morus","alba","wind","syn",18,"dioecious",5.5,6.5,"intolerant","Morus_alba",0,1,1,"1smalltree",1,1,0,0
"Moraceae","Morus","rubra","wind","syn",15,"dioecious",5.5,7,"moderately_tolerant","Morus_rubra",0,1,1,"1smalltree",0,1,1,0
"Moraceae","Maclura","pomifera","wind","ser",18,"dioecious",5.5,9.5,"intolerant","Maclura_pomifera",0,0,1,"1smalltree",1,1,0,1
"Rosaceae","Prunus","nigra","insect","pro",9,"perfect",4.5,8.5,"intolerant","Prunus_nigra",1,1,0,"0shrub",0,0,0,0
"Rosaceae","Prunus","serotina","insect","syn",25,"perfect",5.5,8.5,"tolerant","Prunus_serotina",0,1,0,"2talltree",1,0,1,0
"Rosaceae","Prunus","virginiana","insect","syn/ser",10,"perfect",5.5,7.5,"moderately_tolerant","Prunus_virginiana",0,0,0,"1smalltree",0,0,1,0
"Rosaceae","Prunus","avium","insect","pro",18,"perfect",4,8.5,"moderately_tolerant","Prunus_avium",1,1,0,"1smalltree",1,0,1,0
"Rosaceae","Prunus","pensylvanica","insect","syn",10,"perfect",5.5,7.5,"intolerant","Prunus_pensylvanica",0,1,0,"1smalltree",0,0,0,0
"Rosaceae","Prunus","americana","insect","pro",10,"perfect",4.5,8.5,"intolerant","Prunus_americana",1,1,0,"1smalltree",0,0,0,0
"Rosaceae","Amelanchier","sanguinea","insect","ser",8,"perfect",4.5,7,"intolerant","Amelanchier_sanguinea",0,0,0,"0shrub",0,0,0,0
"Rosaceae","Amelanchier","arborea","insect","pro/syn",8,"perfect",4.5,7,"tolerant","Amelanchier_arborea",1,1,0,"0shrub",0,0,1,0
"Rosaceae","Amelanchier","laevis","insect","syn/ser",10,"perfect",4,7,"tolerant","Amelanchier_laevis",0,0,0,"1smalltree",0,0,1,0
"Rosaceae","Crataegus","succulenta","insect","syn",8,"perfect",5.5,9.5,"intolerant","Crataegus_succulenta",0,1,0,"0shrub",0,0,0,1
