Family,Genus,Species,Pollination,Phen sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred
Ericaceae,Kalmia,polifolia,insect,ser,0.7,perfect,5.5,persistant,intolerant,Y,N
Oleaceae,Ligustrum,vulgare,insect,ser,5,perfect,6,9,intolerant,Y,N
Caprifoliaceae,Lonicera,canadensis,insect,ser,1.5,perfect,5.5,8,moderately_tolerant,Y,N
Caprifoliaceae,Lonicera,dioica,insect,ser,3,perfect,5.5,8,intolerant,Y,N
Caprifoliaceae,Lonicera,maackii,insect,ser,5,perfect,6,9,moderately_tolerant,Y,N
Caprifoliaceae,Lonicera,tatarica,insect,ser,3,perfect,5.5,unreported,moderately_tolerant,Y,N
Menispermaceae,Menispermum,canadense,insect,ser,4,dioecious,6,8.5,intolerant,Y,N
Vitaceae,Parthenocissus,inserta,insect,ser,10,perfect,6.5,9.5,moderately_tolerant,Y,N
Vitaceae,Parthenocissus,quinquefolia,insect,ser,20,perfect,6.5,9.5,moderately_tolerant,Y,N
Vitaceae,Parthenocissus,tricuspidata,insect,ser,18,perfect,6.5,10.5,intolerant,Y,N
Rosaceae,Physocarpus,opulifolius,insect,ser,3.5,perfect,6,8.5,very_intolerant,Y,N
Rosaceae,Prunus,pumila,insect,ser,1.5,perfect,5.5,8,very_intolerant,Y,N
Ericaceae,Rhododendron,groenlandicum,insect,evergreen,,perfect,,,,,
Rosaceae,Rosa,acicularis,insect,ser,1,perfect,6,8.5,intolerant,Y,N
Rosaceae,Rosa,blanda,insect,ser,1.5,perfect,5.5,9,very_intolerant,Y,N
Rosaceae,Rosa,carolina,insect,ser,0.6,perfect,6.5,9,intolerant,Y,N
Rosaceae,Rosa,multiflora,insect,ser,3,perfect,5.5,8,intolerant,Y,N
Rosaceae,Rosa,palustris,insect,ser,2,perfect,6.5,8.5,moderately_tolerant,Y,N
Rosaceae,Rubus,allegheniensis,insect,ser,3.5,perfect,5.5,8,intolerant,Y,N
Rosaceae,Rubus,flagellaris,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N
Rosaceae,Rubus,hispidus,insect,ser,1.5,perfect,6.5,8,intolerant,Y,N
Rosaceae,Rubus,occidentalis,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N
