datetime,date,doy,time,distance,transect,lai.unmasked,sel.unmasked,lai.masked,sel.masked
2005-09-08T18:22:00,9/8/05,251,18:22:00,100,330,3.85,NA,NA,NA
2005-09-08T18:20:00,9/8/05,251,18:20:00,100,345,4.56,NA,NA,NA
2005-09-08T18:16:00,9/8/05,251,18:16:00,200,225,4.7,NA,NA,NA
2005-09-08T18:44:00,9/8/05,251,18:44:00,200,240,4.34,NA,NA,NA
2005-09-08T18:47:00,9/8/05,251,18:47:00,200,255,5.69,NA,NA,NA
2005-09-08T18:51:00,9/8/05,251,18:51:00,200,270,6.02,NA,NA,NA
2005-09-08T18:54:00,9/8/05,251,18:54:00,200,285,5.67,NA,NA,NA
2005-09-08T18:56:00,9/8/05,251,18:56:00,200,300,4.26,NA,NA,NA
2005-09-08T18:58:00,9/8/05,251,18:58:00,200,315,3.9,NA,NA,NA
2005-09-08T19:02:00,9/8/05,251,19:02:00,200,330,4.69,NA,NA,NA
2005-09-08T18:31:00,9/8/05,251,18:31:00,200,345,5.23,NA,NA,NA
2005-09-08T19:04:00,9/8/05,251,19:04:00,300,225,4.4,NA,NA,NA
2005-09-08T18:35:00,9/8/05,251,18:35:00,300,240,4,NA,NA,NA
2005-09-08T18:39:00,9/8/05,251,18:39:00,300,255,4.88,NA,NA,NA
2005-09-08T19:25:00,9/8/05,251,19:25:00,300,270,4.39,NA,NA,NA
2005-09-08T19:22:00,9/8/05,251,19:22:00,300,285,4.42,NA,NA,NA
2005-09-08T19:19:00,9/8/05,251,19:19:00,300,300,4.24,NA,NA,NA
2005-09-08T19:13:00,9/8/05,251,19:13:00,300,315,4.45,NA,NA,NA
2005-09-08T19:11:00,9/8/05,251,19:11:00,300,330,4.67,NA,NA,NA
2005-09-09T18:43:00,9/9/05,252,18:43:00,300,345,4.3,NA,NA,NA
2005-09-09T19:14:00,9/9/05,252,19:14:00,400,225,4.09,NA,NA,NA
2005-09-09T19:11:00,9/9/05,252,19:11:00,400,240,4.44,NA,NA,NA
2005-09-09T19:08:00,9/9/05,252,19:08:00,400,255,4.21,NA,NA,NA
2005-09-09T19:05:00,9/9/05,252,19:05:00,400,270,5.01,NA,NA,NA
2005-09-09T19:01:00,9/9/05,252,19:01:00,400,285,3.91,NA,NA,NA
2005-09-09T18:57:00,9/9/05,252,18:57:00,400,300,3.71,NA,NA,NA
2005-09-09T18:53:00,9/9/05,252,18:53:00,400,315,3.37,NA,NA,NA
2005-09-09T18:50:00,9/9/05,252,18:50:00,400,330,5.08,NA,NA,NA
2005-09-09T18:46:00,9/9/05,252,18:46:00,400,345,5.03,NA,NA,NA
2007-09-09T14:30:00,9/9/07,252,14:30:00,100,225,3.95,0.08,4.55,NA
2007-09-09T14:27:00,9/9/07,252,14:27:00,100,240,3.44,0.02,3.88,NA
2007-09-09T14:25:00,9/9/07,252,14:25:00,100,255,4.19,0.23,4.81,NA
2007-09-09T14:23:00,9/9/07,252,14:23:00,100,270,4.86,0.14,5.67,NA
2007-09-09T14:21:00,9/9/07,252,14:21:00,100,285,3.93,0.06,4.56,NA
2007-09-09T14:19:00,9/9/07,252,14:19:00,100,300,4.18,0.01,4.7,NA
2007-09-09T14:17:00,9/9/07,252,14:17:00,100,315,4.61,0.2,5.18,NA
2007-09-09T14:15:00,9/9/07,252,14:15:00,100,330,4.13,0.15,4.7,NA
2007-09-09T17:35:00,9/9/07,252,17:35:00,100,345,5.49,0.08,6.39,NA
2007-09-09T14:33:00,9/9/07,252,14:33:00,200,225,4.69,0.3,5.46,NA
2007-09-09T17:20:00,9/9/07,252,17:20:00,200,240,3.9,0.2,4.36,NA
2007-09-09T17:14:00,9/9/07,252,17:14:00,200,255,5.44,0.26,6.41,NA
2007-09-09T17:11:00,9/9/07,252,17:11:00,200,270,5.74,0.1,6.59,NA
2007-09-09T17:08:00,9/9/07,252,17:08:00,200,285,5.48,0.13,6.38,NA
2007-09-09T17:05:00,9/9/07,252,17:05:00,200,300,3.99,0.06,4.57,NA
2007-09-09T17:02:00,9/9/07,252,17:02:00,200,315,3.72,0.19,4.33,NA
2007-09-09T16:59:00,9/9/07,252,16:59:00,200,330,4.5,0.13,5.21,NA
2007-09-12T06:54:00,9/12/07,255,6:54:00,300,225,4.35,0.1,NA,NA
2007-09-12T06:51:00,9/12/07,255,6:51:00,300,240,3.9,0.15,NA,NA
2007-09-12T06:46:00,9/12/07,255,6:46:00,300,255,4.88,0.07,NA,NA
2007-09-12T06:42:00,9/12/07,255,6:42:00,300,270,4.49,0.18,NA,NA
2007-09-12T06:37:00,9/12/07,255,6:37:00,300,285,4.22,0.06,NA,NA
2007-09-12T06:33:00,9/12/07,255,6:33:00,300,300,4.35,0.31,NA,NA
2007-09-12T06:30:00,9/12/07,255,6:30:00,300,315,4.33,0.09,NA,NA
2007-09-12T06:24:00,9/12/07,255,6:24:00,300,330,6.44,0.1,NA,NA
2007-09-12T06:59:00,9/12/07,255,6:59:00,400,225,3.84,0.13,NA,NA
2007-09-12T07:03:00,9/12/07,255,7:03:00,400,240,4.04,0.08,NA,NA
2008-05-03T15:15:00,5/3/08,124,15:15:00,100,225,0.87,0,0.94,NA
2008-05-03T15:18:00,5/3/08,124,15:18:00,100,240,0.92,0.04,0.99,NA
2008-05-03T15:13:00,5/3/08,124,15:13:00,100,255,0.98,0.02,1.06,NA
2008-05-03T15:11:00,5/3/08,124,15:11:00,100,270,1.13,0.02,1.22,NA
2008-05-03T15:08:00,5/3/08,124,15:08:00,100,285,1.08,0.04,1.16,NA
2008-05-03T15:06:00,5/3/08,124,15:06:00,100,300,0.99,0,1.07,NA
2008-05-03T17:19:00,5/3/08,124,17:19:00,100,300,0.97,0.03,1.05,NA
2008-05-03T15:04:00,5/3/08,124,15:04:00,100,315,1.04,0.02,1.12,NA
2008-05-03T17:17:00,5/3/08,124,17:17:00,100,315,0.91,0,0.98,NA
2008-05-03T15:02:00,5/3/08,124,15:02:00,100,330,1.13,0.02,1.22,NA
2008-05-03T14:59:00,5/3/08,124,14:59:00,100,345,2.08,0.32,2.24,NA
2008-05-03T15:23:00,5/3/08,124,15:23:00,200,225,1.73,0.1,1.87,NA
2008-05-03T15:36:00,5/3/08,124,15:36:00,200,240,1.35,0.08,1.46,NA
2008-05-03T15:39:00,5/3/08,124,15:39:00,200,255,2.02,0.29,2.18,NA
2008-05-03T15:41:00,5/3/08,124,15:41:00,200,270,3.5,0.11,3.77,NA
2008-05-03T15:43:00,5/3/08,124,15:43:00,200,285,3.27,0.06,3.53,NA
2008-05-03T15:46:00,5/3/08,124,15:46:00,200,300,1.04,0,1.12,NA
2008-05-03T15:50:00,5/3/08,124,15:50:00,200,315,1.2,0.22,1.29,NA
2008-05-03T15:53:00,5/3/08,124,15:53:00,200,330,1.33,0.14,1.43,NA
