"year","GDD.flo","treeyear","tree.id","burst.flo","GDD.bb","burst.bb","species","GDD.diff","FLS.diff"
1991,517.974088617497,"ACRU-04 1991","ACRU-04",97,657.019511556171,116,"ACRU",139.045422938674,19
1992,634.822163707238,"ACRU-04 1992","ACRU-04",122,723.132393561758,134,"ACRU",88.3102298545199,12
1993,502.086680518834,"ACRU-04 1993","ACRU-04",109,599.239285742011,121,"ACRU",97.1526052231771,12
1994,568.031152064777,"ACRU-04 1994","ACRU-04",110,697.292742114852,128,"ACRU",129.261590050075,18
1995,487.606076857326,"ACRU-04 1995","ACRU-04",112,573.396729942496,128,"ACRU",85.7906530851702,16
1996,496.568259498129,"ACRU-04 1996","ACRU-04",111,558.647945957679,120,"ACRU",62.0796864595497,9
1997,458.240209699332,"ACRU-04 1997","ACRU-04",109,517.058660159554,131,"ACRU",58.8184504602221,22
1998,459.695870891641,"ACRU-04 1998","ACRU-04",96,573.531691013236,113,"ACRU",113.835820121595,17
1999,473.097989812641,"ACRU-04 1999","ACRU-04",99,624.922878748044,125,"ACRU",151.824888935403,26
2000,488.275415010921,"ACRU-04 2000","ACRU-04",94,709.651477601474,128,"ACRU",221.376062590553,34
2001,592.320697151457,"ACRU-04 2001","ACRU-04",114,649.494571764592,122,"ACRU",57.1738746131354,8
2002,518.109119669943,"ACRU-04 2002","ACRU-04",103,705.852685960632,127,"ACRU",187.743566290689,24
1990,529.965642539979,"ACRU-05 1990","ACRU-05",101,664.087861190257,119,"ACRU",134.122218650278,18
1991,517.974088617497,"ACRU-05 1991","ACRU-05",97,640.735451274002,114,"ACRU",122.761362656505,17
1992,634.822163707238,"ACRU-05 1992","ACRU-05",122,691.931926146576,131,"ACRU",57.1097624393373,9
1993,484.934313102458,"ACRU-05 1993","ACRU-05",106,569.185217905204,117,"ACRU",84.2509048027454,11
1994,578.147251107718,"ACRU-05 1994","ACRU-05",112,655.624511872165,122,"ACRU",77.4772607644469,10
1995,487.606076857326,"ACRU-05 1995","ACRU-05",112,559.741588473017,126,"ACRU",72.1355116156911,14
1996,507.861092390665,"ACRU-05 1996","ACRU-05",112,558.647945957679,120,"ACRU",50.7868535670137,8
1997,468.859416435824,"ACRU-05 1997","ACRU-05",111,512.058660159554,128,"ACRU",43.1992437237301,17
1998,464.799385235332,"ACRU-05 1998","ACRU-05",97,557.967621408444,111,"ACRU",93.1682361731118,14
1999,557.994400594434,"ACRU-05 1999","ACRU-05",114,591.045811386217,120,"ACRU",33.051410791783,6
2000,510.172553652324,"ACRU-05 2000","ACRU-05",98,696.318965860522,127,"ACRU",186.146412208198,29
2001,566.351715184648,"ACRU-05 2001","ACRU-05",112,636.104869400232,121,"ACRU",69.753154215584,9
2002,518.109119669943,"ACRU-05 2002","ACRU-05",104,572.916221132177,108,"ACRU",54.8071014622344,4
1993,743.150651056004,"ACSA-01 1993","ACSA-01",134,563.558309960642,116,"ACSA",-179.592341095361,-18
1990,708.956409880846,"ACSA-03 1990","ACSA-03",125,744.443876342081,130,"ACSA",35.4874664612346,5
1991,640.735451274002,"ACSA-03 1991","ACSA-03",114,640.735451274002,114,"ACSA",0,0
1992,734.102064691801,"ACSA-03 1992","ACSA-03",136,723.132393561758,134,"ACSA",-10.969671130043,-2
1994,655.624511872165,"ACSA-03 1994","ACSA-03",122,682.629023275975,126,"ACSA",27.0045114038099,4
1995,559.741588473017,"ACSA-03 1995","ACSA-03",126,595.83167470969,131,"ACSA",36.0900862366728,5
1996,592.46752801602,"ACSA-03 1996","ACSA-03",125,553.29161279855,119,"ACSA",-39.1759152174704,-6
1998,547.549587576831,"ACSA-03 1998","ACSA-03",109,617.246051795425,120,"ACSA",69.6964642185941,11
1999,608.137407141194,"ACSA-03 1999","ACSA-03",122,617.773812169625,124,"ACSA",9.63640502843077,2
2000,637.994805286211,"ACSA-03 2000","ACSA-03",120,696.318965860522,127,"ACSA",58.3241605743112,7
2002,572.916221132177,"ACSA-03 2002","ACSA-03",108,675.423327313286,124,"ACSA",102.507106181109,16
1990,691.997998645927,"AMSP-01 1990","AMSP-01",123,674.259855122588,121,"AMSP",-17.7381435233395,-2
1991,648.377914158615,"AMSP-01 1991","AMSP-01",115,688.524033415531,119,"AMSP",40.1461192569161,4
1992,723.132393561758,"AMSP-01 1992","AMSP-01",134,652.467768216338,124,"AMSP",-70.6646253454205,-10
1993,563.558309960642,"AMSP-01 1993","AMSP-01",116,563.558309960642,116,"AMSP",0,0
1994,568.031152064777,"AMSP-01 1994","AMSP-01",110,647.186466340732,121,"AMSP",79.1553142759552,11
1995,590.292717951228,"AMSP-01 1995","AMSP-01",130,559.741588473017,126,"AMSP",-30.5511294782112,-4
1997,551.882977484565,"AMSP-01 1997","AMSP-01",135,506.33269728711,123,"AMSP",-45.5502801974549,-12
1998,753.216241659807,"AMSP-01 1998","AMSP-01",137,547.549587576831,109,"AMSP",-205.666654082976,-28
1999,583.972194108875,"AMSP-01 1999","AMSP-01",119,591.045811386217,120,"AMSP",7.07361727734224,1
2000,779.853821475623,"AMSP-01 2000","AMSP-01",134,665.03485844943,124,"AMSP",-114.818963026193,-10
2001,666.417140224382,"AMSP-01 2001","AMSP-01",123,636.104869400232,121,"AMSP",-30.3122708241497,-2
1990,797.521049681955,"AMSP-02 1990","AMSP-02",136,674.259855122588,121,"AMSP",-123.261194559367,-15
1991,629.692285847144,"AMSP-02 1991","AMSP-02",112,634.692285847144,113,"AMSP",5.00000000000011,1
1993,621.021869494084,"AMSP-02 1993","AMSP-02",123,563.558309960642,116,"AMSP",-57.463559533442,-7
1994,655.624511872165,"AMSP-02 1994","AMSP-02",122,558.996991040115,109,"AMSP",-96.6275208320496,-13
1995,590.292717951228,"AMSP-02 1995","AMSP-02",130,559.741588473017,126,"AMSP",-30.5511294782112,-4
1997,524.671762769345,"AMSP-02 1997","AMSP-02",132,506.33269728711,122,"AMSP",-18.339065482235,-10
1998,573.531691013236,"AMSP-02 1998","AMSP-02",113,525.49944853239,106,"AMSP",-48.032242480846,-7
1999,617.773812169625,"AMSP-02 1999","AMSP-02",124,591.045811386217,120,"AMSP",-26.7280007834075,-4
2000,673.321269116204,"AMSP-02 2000","AMSP-02",125,658.740276089512,123,"AMSP",-14.5809930266925,-2
2001,683.122666136615,"AMSP-02 2001","AMSP-02",124,624.936050914619,120,"AMSP",-58.1866152219962,-4
2001,713.182041785113,"AMSP-03 2001","AMSP-03",127,683.122666136615,124,"AMSP",-30.059375648498,-3
1990,664.087861190257,"AMSP-04 1990","AMSP-04",119,622.387278431618,116,"AMSP",-41.7005827586388,-3
1991,688.524033415531,"AMSP-04 1991","AMSP-04",119,688.524033415531,119,"AMSP",0,0
1991,788.927186886359,"BEAL-01 1991","BEAL-01",132,624.692285847144,111,"BEAL",-164.234901039216,-21
1992,822.97412890937,"BEAL-01 1992","BEAL-01",145,703.255208988162,132,"BEAL",-119.718919921207,-13
1993,743.150651056004,"BEAL-01 1993","BEAL-01",134,502.086680518834,109,"BEAL",-241.063970537169,-25
2000,757.408380567407,"BEAL-01 2000","BEAL-01",131,709.651477601474,128,"BEAL",-47.7569029659325,-3
2002,612.228070821802,"BEAL-01 2002","BEAL-01",112,612.228070821802,112,"BEAL",0,0
1991,788.927186886359,"BEAL-02 1991","BEAL-02",132,768.063782066505,130,"BEAL",-20.8634048198542,-2
1998,639.292408152087,"BEAL-02 1998","BEAL-02",122,655.331442029191,124,"BEAL",16.0390338771037,2
2000,709.651477601474,"BEAL-02 2000","BEAL-02",128,745.176804742282,130,"BEAL",35.5253271408083,2
1991,828.972314989761,"BEAL-03 1991","BEAL-03",135,680.657846837773,118,"BEAL",-148.314468151988,-17
1992,822.97412890937,"BEAL-03 1992","BEAL-03",145,734.102064691801,136,"BEAL",-88.8720642175683,-9
1995,648.834479756643,"BEAL-03 1995","BEAL-03",139,614.802486148947,134,"BEAL",-34.0319936076963,-5
1998,639.292408152087,"BEAL-03 1998","BEAL-03",122,639.292408152087,122,"BEAL",0,0
2000,709.651477601474,"BEAL-03 2000","BEAL-03",128,709.651477601474,128,"BEAL",0,0
1991,760.407450712384,"BELE-01 1991","BELE-01",129,688.524033415531,119,"BELE",-71.8834172968525,-10
1992,822.97412890937,"BELE-01 1992","BELE-01",145,723.132393561758,134,"BELE",-99.8417353476113,-11
