Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Juglandaceae,Carya,ovata,wind,syn,25,monoecious,5.5,10,tolerant,N,N,Carya_ovata,0,1,1,2talltree,1,1,1,10,0
Juglandaceae,Carya,cordiformis,wind,syn,26,monoecious,5.5,10,tolerant,N,N,Carya_cordiformis,0,1,1,2talltree,1,1,1,10,0
Juglandaceae,Carya,glabra,wind,syn,22,monoecious,5.5,10,moderately_tolerant,N,N,Carya_glabra,0,1,1,2talltree,1,1,1,10,0
Juglandaceae,Juglans,cinerea,wind,syn,18,monoecious,5,10,intolerant,N,N,Juglans_cinerea,0,1,1,1smalltree,1,1,0,10,0
Juglandaceae,Juglans,nigra,wind,syn,28,monoecious,5,10,intolerant,N,N,Juglans_nigra,0,1,1,2talltree,1,1,0,10,0
Betulaceae,Alnus,viridis,wind,syn,3,monoecious,5.5,9.5,intolerant,N,N,Alnus_alnobetula,0,1,1,0shrub,0,1,0,9.5,0
Betulaceae,Alnus,incana,wind,pro,8,monoecious,4,9,intolerant,N,N,Alnus_incana,1,1,1,0shrub,0,1,0,9,1
Betulaceae,Alnus,glutinosa,wind,pro/syn,18,monoecious,4,9.5,intolerant,N,N,Alnus_glutinosa,1,1,1,1smalltree,1,1,0,9.5,0
Betulaceae,Corylus,americana,wind,pro,3,monoecious,3.5,8.5,intolerant,N,N,Corylus_americana,1,1,1,0shrub,0,1,0,8.5,1
Betulaceae,Corylus,cornuta,wind,pro,4,monoecious,4.5,8.5,intolerant,N,N,Corylus_cornuta,1,1,1,0shrub,0,1,0,8.5,1
Betulaceae,Ostrya,virginiana,wind,syn,16,monoecious,4.5,9,tolerant,N,N,Ostrya_virginiana,0,1,1,1smalltree,1,1,1,9,0
Betulaceae,Carpinus,caroliniana,wind,syn,10,monoecious,4.5,6,tolerant,N,N,Carpinus_caroliniana,0,1,1,1smalltree,0,1,1,6,0
Betulaceae,Betula,alleghaniensis,wind,pro,30,monoecious,4.5,8,moderately_tolerant,N,N,Betula_alleghaniensis,1,1,1,2talltree,1,1,1,8,1
Betulaceae,Betula,nigra,wind,pro/syn,18,monoecious,4,5.5,intolerant,N,N,Betula_nigra,1,1,1,1smalltree,1,1,0,5.5,0
Betulaceae,Betula,pumila,wind,pro/syn,3,monoecious,5.5,8.5,intolerant,Y,N,Betula_pumila,1,1,1,0shrub,0,1,0,8.5,0
Betulaceae,Betula,papyrifera,wind,pro/syn,22,monoecious,4.5,8.5,intolerant,N,N,Betula_papyrifera,1,1,1,2talltree,1,1,0,8.5,0
Betulaceae,Betula,pendula,wind,pro/syn,15,monoecious,4,8.5,intolerant,N,N,Betula_pendula,1,1,1,1smalltree,0,1,0,8.5,0
Rhamnaceae,Frangula,alnus,insect,ser,6,perfect,6,7.5,moderately_tolerant,N,N,Frangula_alnus,0,0,0,0shrub,0,0,1,7.5,0
