"","id","name","GEN.SPA","treatment","Force","Light","Chill","good_flaskid","treatcode","Flo.poss.","Dead.alive","photoperiod","temp_day","temp_night","chilldays","p_z","f_z","c_z","phase","DOY","surv","floposs"
"78","VIBACE06 HF DB_CS0_6","VIBACE06 HF DB","VIB.ACE","CS0","C","S",0,"CS0_6","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"79","ILEVER03 HF DB_CS0_5","ILEVER03 HF DB","ILE.VER","CS0","C","S",0,"CS0_5","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"80","PRUPEN 24 HF DB_CS0_5","PRUPEN 24 HF DB","PRU.PEN","CS0","C","S",0,"CS0_5","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"81","VACCOR 10 HF DB_CS0_5","VACCOR 10 HF DB","VAC.COR","CS0","C","S",0,"CS0_5","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",68,0,1
"82","COMPER 2 HF DB_CS0_4","COMPER 2 HF DB","COM.PER","CS0","C","S",0,"CS0_4","C_S_0","Y","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",33,0,1
"83","VACCOR 3 HF DB_CS0_4","VACCOR 3 HF DB","VAC.COR","CS0","C","S",0,"CS0_4","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"84","ACEPEN14 HF DB_CS0_3","ACEPEN14 HF DB","ACE.PEN","CS0","C","S",0,"CS0_3","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"85","CORCOR10_HF_CS0_3","CORCOR10_HF","COR.COR","CS0","C","S",0,"CS0_3","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",104,0,1
"86","PRUVIR 5 HF DB_CS0_3","PRUVIR 5 HF DB","PRU.VIR","CS0","C","S",0,"CS0_3","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"87","CORCOR14 HF DB_CS0_24","CORCOR14 HF DB","COR.COR","CS0","C","S",0,"CS0_24","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",73,0,1
"88","PRUPEN 23 HF DB_CS0_24","PRUPEN 23 HF DB","PRU.PEN","CS0","C","S",0,"CS0_24","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"89","PRUVIR 6 HF DB_CS0_24","PRUVIR 6 HF DB","PRU.VIR","CS0","C","S",0,"CS0_24","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"90","CORCOR09_HF_CS0_23","CORCOR09_HF","COR.COR","CS0","C","S",0,"CS0_23","C_S_0","?","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"91","ILEMUC 11 HF DB_CS0_23","ILEMUC 11 HF DB","ILE.MUC","CS0","C","S",0,"CS0_23","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"92","VACCOR 8 HF DB_CS0_23","VACCOR 8 HF DB","VAC.COR","CS0","C","S",0,"CS0_23","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",40,0,1
"93","COMPER 4 HF DB_CS0_22","COMPER 4 HF DB","COM.PER","CS0","C","S",0,"CS0_22","C_S_0","Y","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",30,0,1
"94","ILEMUC 14 HF DB_CS0_22","ILEMUC 14 HF DB","ILE.MUC","CS0","C","S",0,"CS0_22","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"95","PRUVIR 3 HF DB_CS0_22","PRUVIR 3 HF DB","PRU.VIR","CS0","C","S",0,"CS0_22","C_S_0","?","?",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",120,1,1
"96","CORCOR 15_HF_CS0_21","CORCOR 15_HF","COR.COR","CS0","C","S",0,"CS0_21","C_S_0","Y","A",8,18,12,28,3.00434216321592,11.0060790285023,25.0026052979295,"flo_day.60.",68,0,1
