specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
mexicana,12877025,UARK,1990,4,17,4/17/90,Arkansas,carroll,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025,-93.54763094,36.33781409,county_centroid,Y,Y,65,10,107,3,mexicana,10
mexicana,12911688,UARK,1928,3,31,3/31/28,Arkansas,van buren,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911688,-92.52627345,35.57365455,county_centroid,Y,N,65,0,91,1,mexicana,0
mexicana,21186197,ANHC,2005,3,21,3/21/05,Arkansas,saline,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186197,-92.67230801,34.65007785,county_centroid,Y,N,65,0,80,1,mexicana,25
mexicana,22620212,KANU,1965,4,20,4/20/65,Kansas,Pottawatomie,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620212,-96.41277,39.47097,geo_referenced,Y,N,65,0,110,1,mexicana,0
mexicana,12877129,UARK,2001,3,23,3/23/01,Arkansas,lafayette,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877129,-93.60666142,33.23929763,county_centroid,Y,Y,65,11,82,3,mexicana,21
mexicana,19749858,CAU,1978,4,6,4/6/78,Arkansas,Crittenden,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749858,-90.261361,35.372698,geo_referenced,Y,Y,65,11,96,3,mexicana,0
mexicana,12877072,UARK,1969,4,5,4/5/69,Arkansas,franklin,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877072,-93.89830963,35.50546758,county_centroid,Y,N,65,0,95,1,mexicana,0
mexicana,22656719,KANU,2006,4,6,4/6/06,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22656719,-95.2526,38.1815,geo_referenced,Y,N,65,0,96,1,mexicana,26
mexicana,22620188,KANU,1969,5,5,5/5/69,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188,-95.24192,38.30957,geo_referenced,Y,Y,65,17,125,5,mexicana,0
mexicana,12877054,UARK,1980,4,7,4/7/80,Arkansas,crawford,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877054,-94.25175754,35.5843972,county_centroid,Y,N,65,0,98,1,mexicana,0
mexicana,12877161,UARK,2002,4,5,4/5/02,Arkansas,montgomery,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877161,-93.65831855,34.54772903,county_centroid,Y,Y,67,11,95,3,mexicana,22
mexicana,13573885,TEX,1947,4,7,4/7/47,Texas,grayson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573885,-96.68307802,33.62637928,county_centroid,Y,N,65,0,97,1,mexicana,0
mexicana,16920040,NCU,1968,3,30,3/30/68,Louisiana,bienville,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920040,-93.04846889,32.35019442,county_centroid,Y,Y,65,15,90,4,mexicana,0
mexicana,10246781,APCR,1979,3,28,3/28/79,Arkansas,yell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246781,-93.41370271,35.00455982,county_centroid,Y,N,67,0,87,1,mexicana,0
mexicana,25160670,SAT,1977,3,25,3/25/77,Texas,mason,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160670,-99.24229061,30.71288723,county_centroid,Y,Y,65,9,84,2,mexicana,0
mexicana,13497863,TEX,1954,2,28,2/28/54,Texas,bell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863,-97.48412794,31.04025414,county_centroid,Y,N,65,0,59,1,mexicana,0
