"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"668","4691","52.3833,13.05","13.05","52.3833","35","106","20","1959",104,103,-1
"670","4708","53.15,14.1167","14.1167","53.15","15","106","20","1959",106,109,3
"681","4979","52.2833,13.0333","13.0333","52.2833","50","106","20","1959",124,103,-21
"712","4691","52.3833,13.05","13.05","52.3833","35","106","20","1960",110,111,1
"714","4708","53.15,14.1167","14.1167","53.15","15","106","20","1960",119,124,5
"717","4789","52.8333,13.8333","13.8333","52.8333","40","106","20","1960",118,130,12
"732","4979","52.2833,13.0333","13.0333","52.2833","50","106","20","1960",111,114,3
"746","5048","53.2167,13.3333","13.3333","53.2167","70","106","20","1960",126,131,5
"750","5074","54.1,13.4","13.4","54.1","2","106","20","1960",124,128,4
"753","5086","53.65,11.3833","11.3833","53.65","60","106","20","1960",116,120,4
"768","5159","53.7833,12.2","12.2","53.7833","10","106","20","1960",117,132,15
"780","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1960",108,118,10
"781","6862","46.0167,15.7","15.7","46.0167","179","106","20","1961",92,99,7
"782","6863","46.25,15.25","15.25","46.25","244","106","20","1961",96,93,-3
"783","6864","45.9333,15.5833","15.5833","45.9333","150","106","20","1961",96,92,-4
"784","6865","45.5667,14.25","14.25","45.5667","424","106","20","1961",96,99,3
"785","6866","46.5667,15.95","15.95","46.5667","310","106","20","1961",86,98,12
"786","6868","46.0667,14.5167","14.5167","46.0667","299","106","20","1961",100,102,2
"787","6869","45.9,13.6333","13.6333","45.9","55","106","20","1961",96,98,2
"788","6870","45.8,15.1833","15.1833","45.8","220","106","20","1961",95,98,3
"789","6872","46.5,13.7167","13.7167","46.5","864","106","20","1961",110,112,2
"790","6873","46.4667,15.7667","15.7667","46.4667","240","106","20","1961",81,96,15
"791","6874","46.8333,16.3","16.3","46.8333","308","106","20","1961",92,97,5
"792","6875","46.2,15.5333","15.5333","46.2","245","106","20","1961",91,93,2
"793","19291","45.6,17.233","17.233","45.6","161","106","20","1961",86,90,4
"794","19293","44.533,15.4","15.4","44.533","566","106","20","1961",101,97,-4
"795","19295","46.033,16.55","16.55","46.033","138","106","20","1961",93,97,4
