"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"2539","3186","47.9,8.43333","8.43333","47.9","760","101","0","1951",143,114,-29
"2548","3237","48.3333,7.88333","7.88333","48.3333","170","101","0","1951",117,97,-20
"2550","3254","47.6,7.63333","7.63333","47.6","280","101","0","1951",120,106,-14
"2570","3486","48.05,10.8833","10.8833","48.05","590","101","0","1951",127,114,-13
"2572","3490","48.1667,11.4833","11.4833","48.1667","510","101","0","1951",127,136,9
"2584","3515","47.7167,11.4167","11.4167","47.7167","620","101","0","1951",129,108,-21
"2586","3520","47.6333,13","13","47.6333","550","101","0","1951",137,123,-14
"2588","3526","48.3833,11.4167","11.4167","48.3833","470","101","0","1951",133,103,-30
"2597","3545","48.4667,11.9333","11.9333","48.4667","420","101","0","1951",128,109,-19
"2605","3563","48.7833,11.2833","11.2833","48.7833","410","101","0","1951",122,104,-18
"2636","3628","47.8,11.0167","11.0167","47.8","980","101","0","1951",143,120,-23
"2644","3642","48,11.1667","11.1667","48","560","101","0","1951",133,146,13
"2654","3669","47.9833,12.1333","12.1333","47.9833","480","101","0","1951",127,116,-11
"2665","3685","47.8833,11.0333","11.0333","47.8833","700","101","0","1951",136,137,1
"2670","3693","48.8333,12.9667","12.9667","48.8333","310","101","0","1951",125,113,-12
"2671","3694","48.8833,12.6","12.6","48.8833","330","101","0","1951",125,114,-11
"2673","3705","48.8167,12.8","12.8","48.8167","320","101","0","1951",130,109,-21
"2681","3723","48.85,13.3333","13.3333","48.85","560","101","0","1951",138,119,-19
"2688","3744","49.1333,12.7333","12.7333","49.1333","480","101","0","1951",130,107,-23
"2691","3750","48.5833,12.1833","12.1833","48.5833","390","101","0","1951",134,110,-24
"2700","3781","48.4,13","13","48.4","400","101","0","1951",145,125,-20
"2705","3792","48.7,12.0333","12.0333","48.7","450","101","0","1951",129,111,-18
"2706","3793","48.85,12.7667","12.7667","48.85","320","101","0","1951",132,105,-27
"2715","3824","48.75,13.8167","13.8167","48.75","720","101","0","1951",143,133,-10
"2717","3827","48.75,13.5167","13.5167","48.75","440","101","0","1951",124,123,-1
"2727","3849","49.6167,11.8167","11.8167","49.6167","400","101","0","1951",144,119,-25
"2729","3852","49.0333,11.4833","11.4833","49.0333","370","101","0","1951",125,117,-8
"2736","3865","49.3167,12.85","12.85","49.3167","400","101","0","1951",140,121,-19
"2737","3866","49.2167,12.7667","12.7667","49.2167","480","101","0","1951",138,110,-28
"2744","3884","49.1667,11.45","11.45","49.1667","400","101","0","1951",141,115,-26
"2748","3893","49.8333,12.05","12.05","49.8333","500","101","0","1951",145,125,-20
"2757","3912","49.15,11.6667","11.6667","49.15","520","101","0","1951",128,108,-20
"2765","3945","48.9,11.6167","11.6167","48.9","400","101","0","1951",119,109,-10
"2767","3947","49.1,12.4833","12.4833","49.1","570","101","0","1951",137,116,-21
"2774","3959","49.5333,11.6833","11.6833","49.5333","420","101","0","1951",148,117,-31
"2777","3963","49.95,12.2833","12.2833","49.95","550","101","0","1951",141,126,-15
"2780","3967","49.7833,12.3167","12.3167","49.7833","600","101","0","1951",140,145,5
"2783","3974","49.9167,12.3833","12.3833","49.9167","530","101","0","1951",149,125,-24
