"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"361","3873","49.75,11.7333","11.7333","49.75","470","129","70","1951",192,135,-57
"368","3913","49.0333,11.9","11.9","49.0333","420","129","70","1951",180,140,-40
"371","3947","49.1,12.4833","12.4833","49.1","570","129","70","1951",185,123,-62
"372","3949","49.2167,12.5167","12.5167","49.2167","360","129","70","1951",197,134,-63
"375","3959","49.5333,11.6833","11.6833","49.5333","420","129","70","1951",196,137,-59
"383","3987","49.3833,12.7167","12.7167","49.3833","520","129","70","1951",196,133,-63
"384","3991","50.2667,10.9667","10.9667","50.2667","300","129","70","1951",191,133,-58
"385","3992","49.7167,11.0667","11.0667","49.7167","270","129","70","1951",180,123,-57
"394","4035","49.9,11.5833","11.5833","49.9","380","129","70","1951",161,123,-38
"398","4054","49.9333,11.2833","11.2833","49.9333","400","129","70","1951",194,130,-64
"399","4055","49.95,11.1667","11.1667","49.95","450","129","70","1951",199,135,-64
"406","4093","50.1,11.65","11.65","50.1","470","129","70","1951",193,126,-67
"413","4132","49.7667,11.55","11.55","49.7667","420","129","70","1951",179,132,-47
"414","4136","50.2,12.0833","12.0833","50.2","650","129","70","1951",191,136,-55
"416","4142","50.2167,11.5667","11.5667","50.2167","580","129","70","1951",202,135,-67
"418","4146","50.0333,11","11","50.0333","320","129","70","1951",186,149,-37
"420","4148","50.1,11","11","50.1","280","129","70","1951",179,117,-62
"422","4150","50.0667,12.1833","12.1833","50.0667","480","129","70","1951",198,139,-59
"430","4172","49.3333,10.8","10.8","49.3333","400","129","70","1951",196,138,-58
"432","4175","49.2833,10.7833","10.7833","49.2833","440","129","70","1951",192,138,-54
"435","4180","49.0667,10.3167","10.3167","49.0667","440","129","70","1951",193,132,-61
"440","4197","49.55,11.0333","11.0333","49.55","300","129","70","1951",177,133,-44
"453","4237","49.3667,11.2667","11.2667","49.3667","380","129","70","1951",197,139,-58
"456","4246","49.6833,10.3","10.3","49.6833","290","129","70","1951",183,119,-64
"458","4251","49.3667,10.95","10.95","49.3667","380","129","70","1951",193,133,-60
"460","4256","49.45,10.3167","10.3167","49.45","350","129","70","1951",190,133,-57
"472","4322","50.2,10.7667","10.7667","50.2","310","129","70","1951",187,127,-60
"473","4324","50.05,10.7167","10.7167","50.05","330","129","70","1951",190,132,-58
"474","4325","50.0333,10.8333","10.8333","50.0333","270","129","70","1951",189,121,-68
"476","4335","50.1,9.8","9.8","50.1","240","129","70","1951",184,125,-59
"482","4363","50,10.6167","10.6167","50","240","129","70","1951",179,122,-57
"483","4364","50.15,10.4333","10.4333","50.15","290","129","70","1951",190,128,-62
"488","4386","49.7167,10.2167","10.2167","49.7167","230","129","70","1951",190,124,-66
"489","4393","50.3,10.5667","10.5667","50.3","310","129","70","1951",189,131,-58
"492","4405","49.85,9.6","9.6","49.85","150","129","70","1951",188,123,-65
"494","4412","50.4,10.35","10.35","50.4","310","129","70","1951",189,132,-57
"495","4413","50.4333,10.3","10.3","50.4333","270","129","70","1951",184,123,-61
"496","4415","50.5333,10.15","10.15","50.5333","440","129","70","1951",198,138,-60
"502","4437","50.0167,10.2833","10.2833","50.0167","230","129","70","1951",175,130,-45
"503","4443","49.6833,9.91667","9.91667","49.6833","300","129","70","1951",147,130,-17
"508","4463","48.2833,10.7","10.7","48.2833","530","129","70","1951",193,134,-59
"509","4464","48.4333,10.8833","10.8833","48.4333","470","129","70","1951",186,127,-59
"510","4466","48.35,10.8333","10.8333","48.35","500","129","70","1951",186,130,-56
"512","4474","48.6,10.5167","10.5167","48.6","420","129","70","1951",182,123,-59
"518","4503","48.15,10.25","10.25","48.15","550","129","70","1951",150,134,-16
"520","4506","48.1667,10.1167","10.1167","48.1667","530","129","70","1951",181,135,-46
"527","4563","48.3,10.15","10.15","48.3","500","129","70","1951",176,130,-46
"529","4568","48.8167,10.65","10.65","48.8167","410","129","70","1951",191,132,-59
"530","4577","48.1833,10.75","10.75","48.1833","550","129","70","1951",177,115,-62
"532","4588","47.5167,10.2833","10.2833","47.5167","740","129","70","1951",201,142,-59
"534","4593","48.5667,10.6833","10.6833","48.5667","420","129","70","1951",180,131,-49
"565","57","54.7,9.55","9.55","54.7","40","129","70","1952",172,125,-47
"579","417","52.3,9.8","9.8","52.3","60","129","70","1952",181,112,-69
"583","466","52.4333,9.26667","9.26667","52.4333","50","129","70","1952",187,122,-65
"584","481","51.5333,9.95","9.95","51.5333","190","129","70","1952",184,116,-68
"589","553","51.7167,10","10","51.7167","130","129","70","1952",182,115,-67
"592","568","51.6,10.55","10.55","51.6","340","129","70","1952",192,138,-54
"596","642","52.8667,9.6","9.6","52.8667","35","129","70","1952",167,105,-62
"606","732","53.1167,11.2","11.2","53.1167","20","129","70","1952",187,118,-69
"618","1318","51.5167,6.31667","6.31667","51.5167","25","129","70","1952",169,112,-57
"630","1606","51.6667,6.95","6.95","51.6667","35","129","70","1952",162,112,-50
"636","1713","51.5833,9.3","9.3","51.5833","230","129","70","1952",178,111,-67
"640","1758","51.45,8.35","8.35","51.45","320","129","70","1952",201,137,-64
"646","1847","50.9333,8.41667","8.41667","50.9333","320","129","70","1952",190,137,-53
"650","1904","50.75,9.26667","9.26667","50.75","260","129","70","1952",188,130,-58
"657","1924","49.6,8.46667","8.46667","49.6","90","129","70","1952",178,110,-68
"659","1936","50.3667,9.15","9.15","50.3667","300","129","70","1952",181,125,-56
"660","1937","50.2667,9.1","9.1","50.2667","150","129","70","1952",169,108,-61
"666","1958","49.8667,8.93333","8.93333","49.8667","170","129","70","1952",167,109,-58
"672","1987","50.4333,8.66667","8.66667","50.4333","200","129","70","1952",165,111,-54
"673","1990","50.2333,8.86667","8.86667","50.2333","130","129","70","1952",155,115,-40
"678","2009","50.5167,8.81667","8.81667","50.5167","170","129","70","1952",166,109,-57
"679","2010","50.5167,8.91667","8.91667","50.5167","190","129","70","1952",177,111,-66
"680","2011","50.6667,8.73333","8.73333","50.6667","210","129","70","1952",178,112,-66
"685","2037","50.0167,8.78333","8.78333","50.0167","150","129","70","1952",176,110,-66
"687","2049","50.1167,8.91667","8.91667","50.1167","110","129","70","1952",178,114,-64
"689","2053","50.8167,8.78333","8.78333","50.8167","200","129","70","1952",187,120,-67
"692","2305","50.0833,8.51667","8.51667","50.0833","95","129","70","1952",170,105,-65
"697","2355","50.1667,8.98333","8.98333","50.1667","120","129","70","1952",180,113,-67
"699","2357","50.2333,8.88333","8.88333","50.2333","130","129","70","1952",168,114,-54
"701","2363","50.3167,8.15","8.15","50.3167","200","129","70","1952",172,114,-58
"702","2369","50.15,8.4","8.4","50.15","200","129","70","1952",187,150,-37
"708","2568","49.75,6.65","6.65","49.75","260","129","70","1952",173,123,-50
"709","2569","49.75,6.66667","6.66667","49.75","180","129","70","1952",173,123,-50
"712","2647","49.7333,6.68333","6.68333","49.7333","240","129","70","1952",150,114,-36
"716","2778","49.55,7.4","7.4","49.55","240","129","70","1952",163,102,-61
"718","2842","48.7167,9.21667","9.21667","48.7167","391","129","70","1952",177,112,-65
"719","2857","48.8833,9.96667","9.96667","48.8833","470","129","70","1952",185,123,-62
"720","2861","48.8667,10.1167","10.1167","48.8667","430","129","70","1952",166,126,-40
"723","2888","49.0833,9.96667","9.96667","49.0833","480","129","70","1952",186,122,-64
"725","2904","48.7,9.7","9.7","48.7","340","129","70","1952",177,121,-56
"729","2914","48.6333,10.0167","10.0167","48.6333","620","129","70","1952",193,126,-67
"730","2915","48.6167,10.25","10.25","48.6167","460","129","70","1952",178,127,-51
"736","2939","49.15,9.36667","9.36667","49.15","200","129","70","1952",160,126,-34
"739","2954","48.7667,8.93333","8.93333","48.7667","410","129","70","1952",183,121,-62
"740","2956","48.75,8.86667","8.86667","48.75","400","129","70","1952",180,136,-44
"747","2992","49.2833,9.56667","9.56667","49.2833","220","129","70","1952",178,117,-61
"755","3014","49.0833,9.88333","9.88333","49.0833","370","129","70","1952",191,184,-7
"760","3040","48.8833,9.65","9.65","48.8833","500","129","70","1952",187,127,-60
"761","3053","49.1,8.65","8.65","49.1","140","129","70","1952",171,109,-62
"764","3065","49.4,9.4","9.4","49.4","230","129","70","1952",179,122,-57
"766","3078","49.5833,9.36667","9.36667","49.5833","400","129","70","1952",179,120,-59
"769","3086","49.3167,8.81667","8.81667","49.3167","140","129","70","1952",176,119,-57
"770","3087","49.25,8.73333","8.73333","49.25","140","129","70","1952",177,110,-67
"771","3088","49.3833,8.8","8.8","49.3833","130","129","70","1952",161,122,-39
"773","3091","49.2667,8.75","8.75","49.2667","180","129","70","1952",170,107,-63
"775","3096","49.0833,8.48333","8.48333","49.0833","110","129","70","1952",169,114,-55
"777","3101","48.9667,8.31667","8.31667","48.9667","110","129","70","1952",161,105,-56
"779","3105","48.9667,8.3","8.3","48.9667","120","129","70","1952",138,107,-31
"781","3107","48.9833,8.53333","8.53333","48.9833","150","129","70","1952",174,105,-69
"783","3115","49.6167,8.65","8.65","49.6167","120","129","70","1952",166,126,-40
