"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flo_day","leaf_day","FLS"
"412","756","53.0833,9.85","9.85","53.0833","80","102","40","1952",88,107,19
"417","951","52.5,7.3","7.3","52.5","25","102","40","1952",74,105,31
"419","1082","51.8833,10.1667","10.1667","51.8833","200","102","40","1952",80,103,23
"422","1192","52.65,8.11667","8.11667","52.65","25","102","40","1952",93,107,14
"424","1216","53.0833,8.93333","8.93333","53.0833","3","102","40","1952",72,108,36
"425","1217","53.1,8.86667","8.86667","53.1","4","102","40","1952",81,116,35
"428","1318","51.5167,6.31667","6.31667","51.5167","25","102","40","1952",64,103,39
"431","1539","51.8333,7.3","7.3","51.8333","65","102","40","1952",60,99,39
"439","1713","51.5833,9.3","9.3","51.5833","230","102","40","1952",107,116,9
"444","1847","50.9333,8.41667","8.41667","50.9333","320","102","40","1952",140,110,-30
"445","1852","51.1,8.5","8.5","51.1","530","102","40","1952",64,110,46
"449","1904","50.75,9.26667","9.26667","50.75","260","102","40","1952",122,136,14
"450","1908","50.75,9.46667","9.46667","50.75","280","102","40","1952",95,113,18
"463","1990","50.2333,8.86667","8.86667","50.2333","130","102","40","1952",83,112,29
"465","2001","50.6167,8.86667","8.86667","50.6167","260","102","40","1952",73,115,42
"468","2009","50.5167,8.81667","8.81667","50.5167","170","102","40","1952",93,110,17
"469","2024","50.4667,9.31667","9.31667","50.4667","460","102","40","1952",106,110,4
"473","2037","50.0167,8.78333","8.78333","50.0167","150","102","40","1952",102,118,16
"479","2356","50.15,9.01667","9.01667","50.15","130","102","40","1952",69,112,43
"480","2363","50.3167,8.15","8.15","50.3167","200","102","40","1952",84,105,21
"481","2369","50.15,8.4","8.4","50.15","200","102","40","1952",67,107,40
"482","2370","50.0167,8.43333","8.43333","50.0167","90","102","40","1952",74,101,27
"487","2496","49.75,7.3","7.3","49.75","450","102","40","1952",84,113,29
"489","2552","50.1667,7.55","7.55","50.1667","450","102","40","1952",101,109,8
"491","2647","49.7333,6.68333","6.68333","49.7333","240","102","40","1952",75,95,20
"492","2670","50.5667,7.96667","7.96667","50.5667","340","102","40","1952",83,100,17
"494","2794","49.4167,8.4","8.4","49.4167","100","102","40","1952",65,92,27
"496","2842","48.7167,9.21667","9.21667","48.7167","391","102","40","1952",78,109,31
"497","2861","48.8667,10.1167","10.1167","48.8667","430","102","40","1952",101,117,16
"498","2869","48.9833,9.58333","9.58333","48.9833","290","102","40","1952",68,106,38
"502","2888","49.0833,9.96667","9.96667","49.0833","480","102","40","1952",97,104,7
"505","2915","48.6167,10.25","10.25","48.6167","460","102","40","1952",94,133,39
"507","2939","49.15,9.36667","9.36667","49.15","200","102","40","1952",81,89,8
"512","2968","49.4667,10.0333","10.0333","49.4667","280","102","40","1952",76,101,25
"513","2972","49.5333,9.85","9.85","49.5333","330","102","40","1952",88,96,8
"517","3005","48.7833,9.8","9.8","48.7833","410","102","40","1952",111,126,15
"519","3014","49.0833,9.88333","9.88333","49.0833","370","102","40","1952",64,109,45
"521","3031","48.9333,8.95","8.95","48.9333","220","102","40","1952",61,101,40
"522","3033","48.9333,9.63333","9.63333","48.9333","560","102","40","1952",93,112,19
"526","3059","49.1833,8.75","8.75","49.1833","160","102","40","1952",137,108,-29
"527","3065","49.4,9.4","9.4","49.4","230","102","40","1952",74,120,46
"528","3069","49.5333,9.31667","9.31667","49.5333","340","102","40","1952",92,115,23
"533","3082","49.4667,8.98333","8.98333","49.4667","130","102","40","1952",89,110,21
