"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"73","ACERUB22 HF DB_WL0_9","ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_9",NA,NA,NA,NA,"W_L_0","N","D"
"74","BETALL25 HF DB_WL0_9","BETALL25 HF DB","BET.ALL","W","S",0,"WL0_9",NA,NA,61,52,"W_L_0","N","A"
"75","ILEMUC 13 HF DB_WL0_9","ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_9",NA,NA,NA,NA,"W_L_0","?","?"
"76","ACERUB25 HF DB_WL0_8","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_8",NA,NA,NA,NA,"W_L_0","?","?"
"77","CORCOR06 HF_WL0_8","CORCOR06 HF","COR.COR","W","S",0,"WL0_8",NA,NA,NA,NA,"W_L_0","?","A"
"78","ILEMUC 9 HF DB_WL0_8","ILEMUC 9 HF DB","ILE.MUC","W","S",0,"WL0_8",NA,90,NA,NA,"W_L_0","?","?"
"79","PRUPEN 23 HF DB_WL0_7","PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_7",NA,37,54,45,"W_L_0","N","A"
"80","PRUVIR 5 HF DB_WL0_7","PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_7",NA,19,21,19,"W_L_0","N","A"
"81","VIBACE04 HF DB_WL0_7","VIBACE04 HF DB","VIB.ACE","W","S",0,"WL0_7",NA,45,NA,NA,"W_L_0","N","A"
"82","PRUVIR 7 HF DB_WL0_6","PRUVIR 7 HF DB","AME.SPP","W","S",0,"WL0_6",NA,NA,NA,NA,NA,NA,NA
"83","VACCOR 1 HF DB_WL0_6","VACCOR 1 HF DB","VAC.COR","W","S",0,"WL0_6",26,16,54,47,"W_L_0","Y","A"
"84","VIBACE02 HF DB_WL0_6","VIBACE02 HF DB","VIB.ACE","W","S",0,"WL0_6",NA,NA,NA,NA,"W_L_0","?","?"
"85","ACESAC12 HF DB_WL0_5","ACESAC12 HF DB","ACE.SAC","W","S",0,"WL0_5",NA,NA,NA,NA,"W_L_0","N","?"
"86","BETALL26 HF DB_WL0_5","BETALL26 HF DB","BET.ALL","W","S",0,"WL0_5",NA,47,63,58,"W_L_0","N","A"
"87","ILEMUC 13 HF DB_WL0_5","ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_5",NA,NA,NA,NA,"W_L_0","?","?"
"88","CORCOR 16 HF DB_WL0_4","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_4",NA,NA,NA,NA,"W_L_0","?","?"
"89","ILEVER01 HF DB_WL0_4","ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_4",NA,26,37,30,"W_L_0","?","?"
"90","VIBACE HF9 DB_WL0_4","VIBACE HF9 DB","VIB.ACE","W","S",0,"WL0_4",NA,NA,NA,NA,"W_L_0","N","Y"
"91","COMPER 8 HF DB_WL0_3","COMPER 8 HF DB","COM.PER","W","S",0,"WL0_3",NA,16,40,21,"W_L_0","N","A"
"92","ILEVER08 HF DB_WL0_3","ILEVER08 HF DB","ILE.VER","W","S",0,"WL0_3",NA,40,45,42,"W_L_0","N","A"
"93","VIBACE08 HF DB_WL0_3","VIBACE08 HF DB","VIB.ACE","W","S",0,"WL0_3",NA,NA,NA,NA,"W_L_0","?","?"
"94","CORCOR 16 HF DB_WL0_24","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_24",NA,NA,NA,NA,"W_L_0","?","?"
"95","ILEVER01 HF DB_WL0_24","ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_24",NA,23,37,26,"W_L_0","N","A"
"96","PRUVIR 4 HF DB_WL0_24","PRUVIR 4 HF DB","PRU.VIR","W","S",0,"WL0_24",NA,NA,NA,NA,"W_L_0","?","?"
"97","CORCOR 16 HF DB_WL0_23","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_23",NA,NA,NA,NA,"W_L_0","?","?"
"98","PRUPEN 26 HF DB_WL0_23","PRUPEN 26 HF DB","PRU.PEN","W","S",0,"WL0_23",NA,16,42,21,"W_L_0","N","A"
"99","VACCOR 6 HF DB_WL0_23","VACCOR 6 HF DB","VAC.COR","W","S",0,"WL0_23",NA,NA,NA,NA,"W_L_0","?","?"
"100","ACEPEN14 HF DB_WL0_22","ACEPEN14 HF DB","ACE.PEN","W","S",0,"WL0_22",NA,93,NA,NA,"W_L_0","?","A"
"101","ACESAC13 HF DB_WL0_22","ACESAC13 HF DB","ACE.SAC","W","S",0,"WL0_22",NA,NA,NA,NA,"W_L_0","N","?"
"102","COMPER ? HF DB_WL0_22","COMPER ? HF DB","COM.PER","W","S",0,"WL0_22",NA,NA,NA,NA,"W_L_0","?","?"
"103","ACEPEN17 HF DB_WL0_21","ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_21",NA,NA,98,NA,"W_L_0","N","A"
"104","ACESAC16 HF DB_WL0_21","ACESAC16 HF DB","ACE.SAC","W","S",0,"WL0_21",NA,NA,NA,NA,"W_L_0","N","?"
"105","ILEMUC 11 HF DB_WL0_21","ILEMUC 11 HF DB","ILE.MUC","W","S",0,"WL0_21",NA,NA,NA,NA,"W_L_0","?","?"
"106","ACEPEN15 HF DB_WL0_20","ACEPEN15 HF DB","ACE.PEN","W","S",0,"WL0_20",NA,NA,NA,112,"W_L_0","?","A"
"107","ACERUB25 HF DB_WL0_20","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_20",NA,NA,NA,NA,"W_L_0","?","?"
"108","PRUPEN 21 HF DB_WL0_20","PRUPEN 21 HF DB","BET.SPP","W","S",0,"WL0_20",NA,37,52,40,NA,NA,NA
"109","ACEPEN17 HF DB_WL0_2","ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_2",NA,NA,NA,NA,"W_L_0","?","?"
"110","PRUPEN 23 HF DB_WL0_2","PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_2",NA,26,NA,40,"W_L_0","?","D"
"111","PRUVIR 6 HF DB_WL0_2","PRUVIR 6 HF DB","PRU.VIR","W","S",0,"WL0_2",NA,NA,NA,NA,"W_L_0","?","?"
