name,lat,lon,ele,CreationTime,DBH,locality,note
ILEMUC 10 HF DB,42.50012102,-72.21374698,240.319489,2017-08-03T13:32:34Z,<1,Tom swamp gate13,
ILEMUC 11 HF DB,42.50019603,-72.21384203,240.519394,2017-08-03T13:35:08Z,<1,Tom swamp gate13,
ILEMUC 12 HF DB,42.50067598,-72.21387296,241.08136,2017-08-03T13:44:09Z,<1,Tom swamp gate13,
ILEMUC 13 HF DB,42.50147796,-72.213363,242.378845,2017-08-03T14:01:25Z,2.3,Tom swamp gate13,
ILEMUC 14 HF DB,42.50172196,-72.21320903,243.286026,2017-08-03T14:04:02Z,<1,Tom swamp gate13,
ILEMUC 15 HF DB,42.50155298,-72.21322697,246.510391,2017-08-03T15:26:41Z,<1,Tom swamp gate13,
ILEMUC 9 HF DB,42.50007299,-72.21378,239.475754,2017-08-03T13:30:06Z,<1,Tom swamp gate13,
ILEVER 02 HF DB,42.47312601,-72.16929699,274.772186,2017-07-20T15:20:19Z,2.4,slab city gate23,
ILEVER 13 HF DB,42.468695,-72.21238098,255.087128,2017-08-03T17:30:04Z,3.1+2.9,Simes tract gate27,
ILEVER01 HF DB,42.47334503,-72.16910899,273.757782,2017-07-20T14:32:30Z,<1,slab city gate23,
ILEVER03 HF DB,42.47241598,-72.16985196,281.282837,2017-07-20T15:41:33Z,<1,slab city gate23,
ILEVER04 HF DB,42.47255696,-72.169355,277.922028,2017-07-20T15:46:32Z,2,slab city gate23,
ILEVER05 HF DB,42.47250197,-72.16940998,277.495087,2017-07-20T15:48:14Z,1.2,slab city gate23,
ILEVER06 HF DB,42.47252201,-72.16940403,277.394897,2017-07-20T15:49:48Z,3.2,slab city gate23,
ILEVER07 HF DB,42.47255101,-72.16924503,277.021637,2017-07-20T15:50:50Z,2.7,slab city gate23,
ILEVER08 HF DB,42.47254497,-72.16914101,277.006592,2017-07-20T15:52:02Z,4,slab city gate23,
ILEVER09 HF DB,42.49823903,-72.20624501,258.138702,2017-07-20T16:23:25Z,2.5,tom swamp gate12,
ILEVER09 HF DB1,42.498363,-72.20638499,258.032623,2017-07-20T16:24:45Z,NA,tom swamp gate12,should probably be 10
ILEVER11 HF DB,42.49846098,-72.20659303,255.287552,2017-07-20T16:40:11Z,<1,tom swamp gate12,
ILEVER12 HF DB,42.49866701,-72.20659504,253.383133,2017-07-20T16:49:00Z,<1,tom swamp gate12,
LINBIN 1 HF DB,42.46656298,-72.21234502,248.062531,2017-08-03T17:18:10Z,<1,Simes tract gate27,
PRUPEN 18 HF DB,42.50404702,-72.21156802,251.07785,2017-08-03T14:19:14Z,1.3,Tom swamp gate13,
PRUPEN 19 HF DB,42.50404199,-72.21157498,251.573318,2017-08-03T14:21:09Z,2.1,Tom swamp gate13,
PRUPEN 20 HF DB,42.50419898,-72.21160096,252.179276,2017-08-03T14:23:34Z,3.7,Tom swamp gate13,
PRUPEN 21 HF DB,42.50416604,-72.21168998,252.607315,2017-08-03T14:27:07Z,4+3.8+2.4_3.2,Tom swamp gate13,
PRUPEN 22 HF DB,42.50368098,-72.21197798,253.764465,2017-08-03T14:46:17Z,<1,Tom swamp gate13,
PRUPEN 23 HF DB,42.50357302,-72.212082,256.46051,2017-08-03T15:04:38Z,2.4,Tom swamp gate13,
PRUPEN 24 HF DB,42.50355802,-72.21206004,255.800247,2017-08-03T15:05:52Z,4.1,Tom swamp gate13,
PRUPEN 25 HF DB,42.502994,-72.21208401,254.314865,2017-08-03T15:12:39Z,2.2,Tom swamp gate13,
PRUPEN 26 HF DB,42.50207098,-72.21325002,249.45137,2017-08-03T15:23:31Z,<1,Tom swamp gate13,
PRUPEN16 HF DB,42.49954602,-72.206833,253.133972,2017-07-20T17:02:23Z,1.6,tom swamp gate12,
PRUPEN17 HF DB,42.49965004,-72.20684297,252.245026,2017-07-20T17:04:51Z,3.1+1.7,tom swamp gate12,
PRUVIR 1 HF DB,42.50397703,-72.21178503,255.565018,2017-08-03T14:55:14Z,<1,Tom swamp gate13,
PRUVIR 2 HF DB,42.50396001,-72.211794,255.973953,2017-08-03T14:56:12Z,<1,Tom swamp gate13,
PRUVIR 3 HF DB,42.50388399,-72.21176701,256.076324,2017-08-03T14:58:07Z,<1,Tom swamp gate13,
PRUVIR 4 HF DB,42.50385901,-72.211722,256.511688,2017-08-03T14:59:47Z,<1,Tom swamp gate13,
PRUVIR 5 HF DB,42.50385499,-72.21183398,256.379272,2017-08-03T15:01:06Z,<1,Tom swamp gate13,
PRUVIR 6 HF DB,42.50378198,-72.21188896,256.178284,2017-08-03T15:02:03Z,<1,Tom swamp gate13,
PRUVIR 7 HF DB,42.50225698,-72.21307701,249.124527,2017-08-03T15:21:40Z,1.3,Tom swamp gate13,
QUEALB17 HF DB,42.47376697,-72.16898301,269.269745,2017-07-20T14:36:58Z,16.6,slab city gate23,
QUEALB18 HF DB,42.47276198,-72.16957401,281.943634,2017-07-20T15:31:10Z,31.5,slab city gate23,
QUEALB19 HF DB,42.49836903,-72.20654801,255.214905,2017-07-20T16:35:00Z,21.3,tom swamp gate12,
QUEALB20 HF DB,42.49879198,-72.20667701,254.196106,2017-07-20T16:52:00Z,40.5,tom swamp gate12,
QUERUB 26 HF DB,42.49954099,-72.21403004,234.009064,2017-08-03T13:13:20Z,65.9,Tom swamp gate13,
QUERUB25HF DB,42.49876197,-72.213176,234.801758,2017-08-03T13:06:00Z,36.2,Tom swamp gate13,
VACCOR 1 HF DB,42.49942901,-72.21405501,234.9263,2017-08-03T13:16:00Z,<1,Tom swamp gate13,
VACCOR 10 HF DB,42.50136799,-72.21352503,243.019058,2017-08-03T13:53:29Z,<1,Tom swamp gate13,
VACCOR 11 HF DB,42.501456,-72.21340299,241.952438,2017-08-03T13:55:49Z,,Tom swamp gate13,
VACCOR 2 HF DB,42.49949397,-72.21403004,236.122284,2017-08-03T13:18:29Z,<1,Tom swamp gate13,
VACCOR 3 HF DB,42.49975598,-72.21391998,238.779541,2017-08-03T13:22:37Z,<1,Tom swamp gate13,
VACCOR 4 HF DB,42.499673,-72.21391403,238.42601,2017-08-03T13:23:58Z,<1,Tom swamp gate13,
VACCOR 5 HF DB,42.50045101,-72.21384698,240.582611,2017-08-03T13:37:47Z,<1,Tom swamp gate13,
VACCOR 6 HF DB,42.50067799,-72.21397103,240.776932,2017-08-03T13:42:28Z,<1,Tom swamp gate13,
VACCOR 7 HF DB,42.50075703,-72.21391303,241.48584,2017-08-03T13:46:07Z,<1,Tom swamp gate13,
VACCOR 8 HF DB,42.50075703,-72.213938,240.092102,2017-08-03T13:47:59Z,<1,Tom swamp gate13,
VACCOR 9 HF DB,42.50081797,-72.21378101,241.489456,2017-08-03T13:50:34Z,<1,Tom swamp gate13,
VIBACE01 HF DB,42.47258998,-72.16983897,274.869934,2017-07-20T13:47:37Z,<1,slab city gate23,
VIBACE02 HF DB,42.47273298,-72.16971299,276.043976,2017-07-20T13:48:56Z,<1,slab city gate23,
VIBACE03 HF DB,42.47273097,-72.16955499,278.337372,2017-07-20T13:58:07Z,<1,slab city gate23,
VIBACE06 HF DB,42.47290196,-72.16909801,275.509613,2017-07-20T14:20:41Z,<1,slab city gate23,
VIBACE07 HF DB,42.47315803,-72.16914402,273.349091,2017-07-20T14:23:46Z,<1,slab city gate23,
VIBACE08 HF DB,42.47297103,-72.16921301,276.630615,2017-07-20T15:24:00Z,<1,slab city gate23,
VIBACE09 HF DB,42.49823802,-72.20641198,257.001892,2017-07-20T16:21:41Z,<1,tom swamp gate12,
VIBACE10 HF DB,42.49834204,-72.206545,256.885773,2017-07-20T16:29:52Z,<1,tom swamp gate12,
VIBACE11 HF DB,42.50011004,-72.206991,250.714615,2017-07-20T17:08:49Z,<1,tom swamp gate12,
VIBACE4 HF DB,42.47272904,-72.16940202,277.876373,2017-07-20T14:02:18Z,<1,slab city gate23,
VIBACE5 HF DB,42.472923,-72.16931803,275.886688,2017-07-20T14:06:06Z,<1,slab city gate23,
VIBCAS13 HF DB,42.47233802,-72.169773,272.24234,2017-07-20T13:31:59Z,<1,slab city gate23,
