"id","leaf_day","flo_day","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"VACCOR 2 HF DB_WL0_14",73,NA,"VACCOR 2 HF DB","VAC.COR","W","S",0,"WL0_14"
"COMPER 5 HF DB_WL0_13",NA,NA,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_13"
"ILEVER07 HF DB_WL0_13",42,NA,"ILEVER07 HF DB","ILE.VER","W","S",0,"WL0_13"
"PRUPEN 24 HF DB_WL0_13",NA,NA,"PRUPEN 24 HF DB","PRU.PEN","W","S",0,"WL0_13"
"BETALL25 HF DB_WL0_12",90,NA,"BETALL25 HF DB","BET.ALL","W","S",0,"WL0_12"
"ILEVER04 HF DB_WL0_12",NA,NA,"ILEVER04 HF DB","ILE.VER","W","S",0,"WL0_12"
"VACCOR 11 HF DB_WL0_12",47,26,"VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_12"
"COMPER 5 HF DB_WL0_11",104,47,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_11"
"PRUPEN 23 HF DB_WL0_11",23,NA,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_11"
"PRUVIR 5 HF DB_WL0_11",56,NA,"PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_11"
"ACESAC18 HF DB_WL0_10",NA,NA,"ACESAC18 HF DB","ACE.SAC","W","S",0,"WL0_10"
"COMPER 6 HF DB_WL0_10",NA,NA,"COMPER 6 HF DB","COM.PER","W","S",0,"WL0_10"
"CORCOR 15 HF DB_WL0_10",NA,NA,"CORCOR 15 HF DB","COR.COR","W","S",0,"WL0_10"
"ACEPEN18 HF DB_WL0_1",63,NA,"ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_1"
"BETALL32 HF DB_WL0_1",82,NA,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_1"
"CORCOR 17 HF DB_WL0_1",NA,63,"CORCOR 17 HF DB","COR.COR","W","S",0,"WL0_1"
"ACERUB25 HF DB_CS0_9",NA,NA,"ACERUB25 HF DB","ACE.RUB","C","S",0,"CS0_9"
"ILEVER09 HF DB1_CS0_9",NA,NA,"ILEVER09 HF DB1","ILE.VER","C","S",0,"CS0_9"
"PRUPEN16 HF DB_CS0_9",NA,NA,"PRUPEN16 HF DB","PRU.PEN","C","S",0,"CS0_9"
"ACERUB29 HF DB_CS0_8",NA,NA,"ACERUB29 HF DB","ACE.RUB","C","S",0,"CS0_8"
"BETALL32 HF DB_CS0_8",104,NA,"BETALL32 HF DB","BET.ALL","C","S",0,"CS0_8"
"COMPER 6 HF DB_CS0_8",NA,NA,"COMPER 6 HF DB","COM.PER","C","S",0,"CS0_8"
"BETALL26 HF DB_CS0_7",82,NA,"BETALL26 HF DB","BET.ALL","C","S",0,"CS0_7"
"VACCOR 7 HF DB_CS0_7",NA,NA,"VACCOR 7 HF DB","VAC.COR","C","S",0,"CS0_7"
"VIBACE06 HF DB_CS0_7",NA,NA,"VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_7"
"ACESAC17 HF DB_CS0_6",NA,NA,"ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_6"
"BETALL31 HF DB_CS0_6",93,NA,"BETALL31 HF DB","BET.ALL","C","S",0,"CS0_6"
"VIBACE06 HF DB_CS0_6",104,NA,"VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_6"
"ILEVER03 HF DB_CS0_5",68,NA,"ILEVER03 HF DB","ILE.VER","C","S",0,"CS0_5"
"PRUPEN 24 HF DB_CS0_5",NA,NA,"PRUPEN 24 HF DB","PRU.PEN","C","S",0,"CS0_5"
"VACCOR 10 HF DB_CS0_5",79,68,"VACCOR 10 HF DB","VAC.COR","C","S",0,"CS0_5"
"BETALL32 HF DB_CS0_4",87,NA,"BETALL32 HF DB","BET.ALL","C","S",0,"CS0_4"
"COMPER 2 HF DB_CS0_4",NA,33,"COMPER 2 HF DB","COM.PER","C","S",0,"CS0_4"
"VACCOR 3 HF DB_CS0_4",NA,NA,"VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_4"
"ACEPEN14 HF DB_CS0_3",NA,NA,"ACEPEN14 HF DB","ACE.PEN","C","S",0,"CS0_3"
"CORCOR10_HF_CS0_3",NA,104,"CORCOR10_HF","COR.COR","C","S",0,"CS0_3"
"PRUVIR 5 HF DB_CS0_3",NA,NA,"PRUVIR 5 HF DB","PRU.VIR","C","S",0,"CS0_3"
"CORCOR14 HF DB_CS0_24",84,73,"CORCOR14 HF DB","COR.COR","C","S",0,"CS0_24"
"PRUPEN 23 HF DB_CS0_24",NA,NA,"PRUPEN 23 HF DB","PRU.PEN","C","S",0,"CS0_24"
"PRUVIR 6 HF DB_CS0_24",NA,NA,"PRUVIR 6 HF DB","PRU.VIR","C","S",0,"CS0_24"
"CORCOR09_HF_CS0_23",114,NA,"CORCOR09_HF","COR.COR","C","S",0,"CS0_23"
"ILEMUC 11 HF DB_CS0_23",NA,NA,"ILEMUC 11 HF DB","ILE.MUC","C","S",0,"CS0_23"
"VACCOR 8 HF DB_CS0_23",40,40,"VACCOR 8 HF DB","VAC.COR","C","S",0,"CS0_23"
