"","id","leaf_day","flo_day","flo_dayF","flo_dayM","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"78","CORCOR 15 HF DB_CS1_23",82,NA,NA,40,"CORCOR 15 HF DB","COR.COR","C","S",1,"CS1_23"
"79","COMPER 6 HF DB_CS1_22",91,NA,NA,28,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_22"
"80","CORCOR 15 HF DB_CS1_22",73,NA,40,37,"CORCOR 15 HF DB","COR.COR","C","S",1,"CS1_22"
"81","COMPER 1 HF DB_CS1_15",48,NA,37,30,"COMPER 1 HF DB","COM.PER","C","S",1,"CS1_15"
"82","CORCOR09_HF_CS1_15",65,NA,40,NA,"CORCOR09_HF","COR.COR","C","S",1,"CS1_15"
"83","COMPER 6 HF DB_CS1_12",48,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_12"
"84","CORCOR06 HF_CS1_1",48,NA,NA,NA,"CORCOR06 HF","COR.COR","C","S",1,"CS1_1"
"85","COMPER 3 HF DB_CL1_8",56,NA,35,48,"COMPER 3 HF DB","COM.PER","C","L",1,"CL1_8"
"86","COMPER 2 HF DB_CL1_5",62,NA,NA,35,"COMPER 2 HF DB","COM.PER","C","L",1,"CL1_5"
"87","COMPER 1 HF DB_CL1_3",54,NA,37,30,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_3"
"88","CORCOR07_HF_CL1_3",65,NA,62,NA,"CORCOR07_HF","COR.COR","C","L",1,"CL1_3"
"89","COMPER 1 HF DB_CL1_24",48,NA,19,33,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_24"
"90","CORCOR 17 HF DB_CL1_23",56,NA,45,NA,"CORCOR 17 HF DB","COR.COR","C","L",1,"CL1_23"
"91","CORCOR 15 HF DB_CL1_22",68,NA,51,33,"CORCOR 15 HF DB","COR.COR","C","L",1,"CL1_22"
"92","CORCOR 15 HF DB_CL1_21",65,33,45,35,"CORCOR 15 HF DB","COR.COR","C","L",1,"CL1_21"
"93","COMPER 1 HF DB_CL1_20",51,NA,37,37,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_20"
"94","COMPER 1 HF DB_CL1_16",54,NA,28,37,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_16"
"95","CORCOR09_HF_CL1_14",62,NA,NA,NA,"CORCOR09_HF","COR.COR","C","L",1,"CL1_14"
"96","CORCOR07_HF_CL1_1",54,NA,NA,NA,"CORCOR07_HF","COR.COR","C","L",1,"CL1_1"
