,nomen,name,flask_id,treat,new_num
551,Viburnum_acerifolium,VIBACE07 HF DB,CL1_6,CL1,
17,Acer_pensylvanicum,ACEPEN16 HF DB,CL1_7,CL1,
179,Betula_allagheniensis,BETALL32 HF DB,CL1_7,CL1,
306,Ilex_mucronata,ILEMUC 12 HF DB,CL1_7,CL1,
199,Comptonia_peregrina,COMPER 3 HF DB,CL1_8,CL1,
364,Ilex_verticilata,ILEVER06 HF DB,CL1_8,CL1,
385,Prunus_pensylvanica,PRUPEN 21 HF DB,CL1_8,CL1,
28,Acer_pensylvanicum,ACEPEN16 HF DB,CL1_9,CL1,
373,Ilex_verticilata,ILEVER01 HF DB,CL1_9,CL1,
565,Viburnum_acerifolium,VIBACE5 HF DB,CL1_9,CL1,
32,Acer_pensylvanicum,ACEPEN20 HF DB,CS0_1,CS0,
267,Corylus_cornuta,CORCOR06 HF,CS0_1,CS0,
442,Prunus_virginiana,PRUVIR 2 HF DB,CS0_1,CS0,
38,Acer_pensylvanicum,ACEPEN20 HF DB,CS0_10,CS0,
128,Acer_saccharum,ACESAC11 HF DB,CS0_10,CS0,
464,Prunus_virginiana,PRUVIR 7 HF DB,CS0_10,CS0,
113,Acer_saccharum,ACESAC17 HF DB,CS0_11,CS0,
492,Vaccinium_corymbosum,VACCOR 3 HF DB,CS0_11,CS0,
559,Viburnum_acerifolium,VIBACE4 HF DB,CS0_11,CS0,
330,Ilex_mucronata,ILEMUC 12 HF DB,CS0_12,CS0,
474,Prunus_virginiana,PRUVIR 3 HF DB,CS0_12,CS0,
523,Vaccinium_corymbosum,VACCOR 3 HF DB,CS0_12,CS0,
186,Betula_allagheniensis,BETALL31 HF DB,CS0_13,CS0,
221,Comptonia_peregrina,COMPER 6 HF DB,CS0_13,CS0,
320,Ilex_mucronata,ILEMUC 10 HF DB,CS0_13,CS0,
187,Betula_allagheniensis,BETALL31 HF DB,CS0_14,CS0,
329,Ilex_mucronata,ILEMUC 9 HF DB,CS0_14,CS0,
396,Prunus_pensylvanica,PRUPEN 23 HF DB,CS0_14,CS0,
19,Acer_pensylvanicum,ACEPEN16 HF DB,CS0_15,CS0,
83,Acer_rubrum,ACERUB23 HF DB,CS0_15,CS0,
363,Ilex_verticilata,ILEVER01 HF DB,CS0_15,CS0,
55,Acer_rubrum,ACERUB28 HF DB,CS0_16,CS0,
114,Acer_saccharum,ACESAC19 HF DB,CS0_16,CS0,
574,Viburnum_acerifolium,VIBACE11 HF DB,CS0_16,CS0,
298,Ilex_mucronata,ILEMUC 9 HF DB,CS0_17,CS0,
402,Prunus_pensylvanica,PRUPEN 24 HF DB,CS0_17,CS0,
529,Viburnum_acerifolium,VIBACE07 HF DB,CS0_17,CS0,
31,Acer_pensylvanicum,ACEPEN20 HF DB,CS0_18,CS0,
50,Acer_rubrum,ACERUB23 HF DB,CS0_18,CS0,
56,Acer_rubrum,ACERUB25 HF DB,CS0_18,CS0,19
27,Acer_pensylvanicum,ACEPEN16 HF DB,CS0_19,CS0,
117,Acer_saccharum,ACESAC17 HF DB,CS0_19,CS0,18
356,Ilex_verticilata,ILEVER08 HF DB,CS0_19,CS0,
111,Acer_saccharum,ACESAC11 HF DB,CS0_2,CS0,
235,Comptonia_peregrina,COMPER 5 HF DB,CS0_2,CS0,
239,Comptonia_peregrina,COMPER 8 HF DB,CS0_2,CS0,20
269,Corylus_cornuta,CORCOR09_HF,CS0_20,CS0,2
380,Ilex_verticilata,ILEVER08 HF DB,CS0_20,CS0,
393,Prunus_pensylvanica,PRUPEN16 HF DB,CS0_20,CS0,
264,Corylus_cornuta,CORCOR07_HF,CS0_21,CS0,
339,Ilex_verticilata,ILEVER01 HF DB,CS0_21,CS0,
567,Viburnum_acerifolium,VIBACE03 HF DB,CS0_21,CS0,
304,Ilex_mucronata,ILEMUC 14 HF DB,CS0_22,CS0,
308,Ilex_mucronata,ILEMUC 11 HF DB,CS0_22,CS0,23
475,Prunus_virginiana,PRUVIR 3 HF DB,CS0_22,CS0,
213,Comptonia_peregrina,COMPER 4 HF DB,CS0_23,CS0,22
259,Corylus_cornuta,CORCOR09_HF,CS0_23,CS0,
519,Vaccinium_corymbosum,VACCOR 8 HF DB,CS0_23,CS0,
244,Corylus_cornuta,CORCOR14 HF DB,CS0_24,CS0,
416,Prunus_pensylvanica,PRUPEN 23 HF DB,CS0_24,CS0,
478,Prunus_virginiana,PRUVIR 6 HF DB,CS0_24,CS0,
15,Acer_pensylvanicum,ACEPEN19 HF DB,CS0_3,CS0,
246,Corylus_cornuta,CORCOR10_HF,CS0_3,CS0,
447,Prunus_virginiana,PRUVIR 5 HF DB,CS0_3,CS0,
150,Betula_allagheniensis,BETALL32 HF DB,CS0_4,CS0,
211,Comptonia_peregrina,COMPER 2 HF DB,CS0_4,CS0,
513,Vaccinium_corymbosum,VACCOR 4 HF DB,CS0_4,CS0,
370,Ilex_verticilata,ILEVER03 HF DB,CS0_5,CS0,
417,Prunus_pensylvanica,PRUPEN 24 HF DB,CS0_5,CS0,
505,Vaccinium_corymbosum,VACCOR 10 HF DB,CS0_5,CS0,
140,Acer_saccharum,ACESAC17 HF DB,CS0_6,CS0,
151,Betula_allagheniensis,BETALL31 HF DB,CS0_6,CS0,
158,Betula_allagheniensis,BETALL26 HF DB,CS0_6,CS0,7
496,Vaccinium_corymbosum,VACCOR 7 HF DB,CS0_7,CS0,
541,Viburnum_acerifolium,VIBACE06 HF DB,CS0_7,CS0,
562,Viburnum_acerifolium,VIBACE06 HF DB,CS0_7,CS0,6
58,Acer_rubrum,ACERUB29 HF DB,CS0_8,CS0,
65,Acer_rubrum,ACERUB25 HF DB,CS0_8,CS0,9
210,Comptonia_peregrina,COMPER 6 HF DB,CS0_8,CS0,
180,Betula_allagheniensis,BETALL32 HF DB,CS0_9,CS0,8
345,Ilex_verticilata,ILEVER09 HF DB1,CS0_9,CS0,
404,Prunus_pensylvanica,PRUPEN16 HF DB,CS0_9,CS0,
129,Acer_saccharum,ACESAC17 HF DB,CS1_1,CS1,
174,Betula_allagheniensis,BETALL34 HF DB,CS1_1,CS1,
276,Corylus_cornuta,CORCOR06 HF,CS1_1,CS1,
121,Acer_saccharum,ACESAC12 HF DB,CS1_10,CS1,
171,Betula_allagheniensis,BETALL26 HF DB,CS1_10,CS1,
