name,lat,lon,ele,DBH,locality,CreationTime
ACESAC13 HF DB,42.47272996,-72.16964199,277.836731,,,2017-07-20T13:55:11Z
ACESAC14 HF DB,42.47617501,-72.169456,263.560089,,,2017-07-20T14:46:05Z
ACESAC15 HF DB,42.47577603,-72.16952498,273.931519,,,2017-07-20T14:56:33Z
ACESAC16 HF DB,42.47290498,-72.16937302,279.693451,,,2017-07-20T15:25:27Z
ACESAC17 HF DB,42.47254204,-72.16999202,281.749329,,,2017-07-20T15:38:24Z
ACESAC18 HF DB,42.49884403,-72.20673996,253.976944,,,2017-07-20T16:50:13Z
ACESAC19 HF DB,42.53428096,-72.18898801,362.296356,,,2017-07-20T18:27:13Z
BETALL25 HF DB,42.47249996,-72.16965398,272.859863,,,2017-07-20T13:41:47Z
BETALL26 HF DB,42.47279098,-72.16951299,277.771149,,,2017-07-20T14:00:16Z
BETALL27 HF DB,42.47291302,-72.16912198,275.418274,,,2017-07-20T14:12:00Z
BETALL28 HF DB,42.47291302,-72.16907697,274.090027,,,2017-07-20T14:16:10Z
BETALL29 HF DB,42.47325702,-72.16920798,273.151703,,,2017-07-20T14:29:26Z
BETALL30 HF DB,42.47439704,-72.16905098,267.641418,,,2017-07-20T14:41:23Z
BETALL31 HF DB,42.47306004,-72.169125,274.86908,,,2017-07-20T15:16:13Z
BETALL32 HF DB,42.47287497,-72.16944703,280.488983,,,2017-07-20T15:27:17Z
BETALL33 HF DB,42.498881,-72.20670803,254.062622,,,2017-07-20T16:44:46Z
BETALL34 HF DB,42.49881696,-72.20674197,254.433838,,,2017-07-20T16:47:06Z
COMPER 1 HF DB,42.50448002,-72.21148504,251.342117,,,2017-08-03T14:33:06Z
COMPER 2 HF DB,42.50434399,-72.21155603,252.469376,,,2017-08-03T14:34:55Z
COMPER 3 HF DB,42.50417601,-72.21168897,253.967194,,,2017-08-03T14:37:12Z
COMPER 4 HF DB,42.50398398,-72.21175301,255.056534,,,2017-08-03T14:40:47Z
COMPER 5 HF DB,42.50375197,-72.21194596,253.709198,,,2017-08-03T14:43:48Z
COMPER 6 HF DB,42.50371199,-72.21200103,253.91597,,,2017-08-03T14:44:54Z
COMPER 7 HF DB,42.50351401,-72.21204604,256.751617,,,2017-08-03T15:08:18Z
COMPER 8 HF DB,42.50293097,-72.21213698,253.988754,,,2017-08-03T15:11:18Z
CORCOR 15 HF DB,42.50279501,-72.21199902,252.920914,,,2017-08-03T15:15:15Z
CORCOR 16 HF DB,42.50233803,-72.21259497,250.398193,,,2017-08-03T15:18:25Z
CORCOR 17 HF DB,42.50126003,-72.21371898,246.628098,,,2017-08-03T15:29:15Z
CORCOR14 HF DB,42.47268797,-72.16962397,275.216644,,,2017-07-20T13:50:04Z
CORECORE 13DB,42.47239502,-72.16967703,274.035919,,,2017-07-20T13:29:26Z
FAGGRA 22 HF DB,42.50064899,-72.21392803,240.428757,,,2017-08-03T13:40:23Z
FAGGRA 23 HF DB,42.50191902,-72.21325899,244.108643,,,2017-08-03T14:06:56Z
FAGGRA15 HF DB,42.472851,-72.16926397,276.240265,,,2017-07-20T14:04:05Z
FAGGRA16 HF DB,42.47279601,-72.16929004,274.842926,,,2017-07-20T14:07:57Z
FAGGRA17 HF DB,42.472924,-72.16913698,274.703491,,,2017-07-20T14:14:22Z
FAGGRA18 HF DB,42.47327596,-72.16913296,272.632385,,,2017-07-20T14:27:52Z
FAGGRA19 HF DB,42.47563002,-72.16944996,274.306915,,,2017-07-20T14:59:52Z
FAGGRA20 HF DB,42.49842502,-72.20643402,255.859619,,,2017-07-20T16:32:52Z
FAGGRA20 HFDB,42.53768401,-72.18657201,392.822418,,,2017-07-20T18:47:34Z
FAGGRA21 HF DB,42.53829799,-72.18563198,392.296936,,,2017-07-20T18:57:10Z
FRAAME 4 HF DB,42.46933001,-72.21231401,259.478363,,,2017-08-03T17:33:39Z
FRAAME01 HF DB,42.47201096,-72.16944803,259.808472,,,2017-07-20T16:17:17Z
FRAAME02 HF DB,42.49831203,-72.20643,257.297333,,,2017-07-20T16:26:35Z
FRAAME03 HF DB,42.49870598,-72.20670702,254.828766,,,2017-07-20T16:41:51Z
ILEMUC 10 HF DB,42.50012102,-72.21374698,240.319489,,,2017-08-03T13:32:34Z
ILEMUC 11 HF DB,42.50019603,-72.21384203,240.519394,,,2017-08-03T13:35:08Z
ILEMUC 12 HF DB,42.50067598,-72.21387296,241.08136,,,2017-08-03T13:44:09Z
ILEMUC 13 HF DB,42.50147796,-72.213363,242.378845,,,2017-08-03T14:01:25Z
ILEMUC 14 HF DB,42.50172196,-72.21320903,243.286026,,,2017-08-03T14:04:02Z
ILEMUC 15 HF DB,42.50155298,-72.21322697,246.510391,,,2017-08-03T15:26:41Z
ILEMUC 9 HF DB,42.50007299,-72.21378,239.475754,,,2017-08-03T13:30:06Z
ILEVER 02 HF DB,42.47312601,-72.16929699,274.772186,,,2017-07-20T15:20:19Z
ILEVER 13 HF DB,42.468695,-72.21238098,255.087128,,,2017-08-03T17:30:04Z
ILEVER01 HF DB,42.47334503,-72.16910899,273.757782,,,2017-07-20T14:32:30Z
ILEVER03 HF DB,42.47241598,-72.16985196,281.282837,,,2017-07-20T15:41:33Z
ILEVER04 HF DB,42.47255696,-72.169355,277.922028,,,2017-07-20T15:46:32Z
ILEVER05 HF DB,42.47250197,-72.16940998,277.495087,,,2017-07-20T15:48:14Z
ILEVER06 HF DB,42.47252201,-72.16940403,277.394897,,,2017-07-20T15:49:48Z
ILEVER07 HF DB,42.47255101,-72.16924503,277.021637,,,2017-07-20T15:50:50Z
ILEVER08 HF DB,42.47254497,-72.16914101,277.006592,,,2017-07-20T15:52:02Z
ILEVER09 HF DB,42.49823903,-72.20624501,258.138702,,,2017-07-20T16:23:25Z
ILEVER09 HF DB1,42.498363,-72.20638499,258.032623,,,2017-07-20T16:24:45Z
ILEVER11 HF DB,42.49846098,-72.20659303,255.287552,,,2017-07-20T16:40:11Z
ILEVER12 HF DB,42.49866701,-72.20659504,253.383133,,,2017-07-20T16:49:00Z
LINBIN 1 HF DB,42.46656298,-72.21234502,248.062531,,,2017-08-03T17:18:10Z
PRUPEN 18 HF DB,42.50404702,-72.21156802,251.07785,,,2017-08-03T14:19:14Z
PRUPEN 19 HF DB,42.50404199,-72.21157498,251.573318,,,2017-08-03T14:21:09Z
PRUPEN 20 HF DB,42.50419898,-72.21160096,252.179276,,,2017-08-03T14:23:34Z
PRUPEN 21 HF DB,42.50416604,-72.21168998,252.607315,,,2017-08-03T14:27:07Z
PRUPEN 22 HF DB,42.50368098,-72.21197798,253.764465,,,2017-08-03T14:46:17Z
PRUPEN 23 HF DB,42.50357302,-72.212082,256.46051,,,2017-08-03T15:04:38Z
PRUPEN 24 HF DB,42.50355802,-72.21206004,255.800247,,,2017-08-03T15:05:52Z
PRUPEN 25 HF DB,42.502994,-72.21208401,254.314865,,,2017-08-03T15:12:39Z
PRUPEN 26 HF DB,42.50207098,-72.21325002,249.45137,,,2017-08-03T15:23:31Z
PRUPEN16 HF DB,42.49954602,-72.206833,253.133972,,,2017-07-20T17:02:23Z
PRUPEN17 HF DB,42.49965004,-72.20684297,252.245026,,,2017-07-20T17:04:51Z
PRUVIR 1 HF DB,42.50397703,-72.21178503,255.565018,,,2017-08-03T14:55:14Z
PRUVIR 2 HF DB,42.50396001,-72.211794,255.973953,,,2017-08-03T14:56:12Z
PRUVIR 3 HF DB,42.50388399,-72.21176701,256.076324,,,2017-08-03T14:58:07Z
PRUVIR 4 HF DB,42.50385901,-72.211722,256.511688,,,2017-08-03T14:59:47Z
PRUVIR 5 HF DB,42.50385499,-72.21183398,256.379272,,,2017-08-03T15:01:06Z
PRUVIR 6 HF DB,42.50378198,-72.21188896,256.178284,,,2017-08-03T15:02:03Z
PRUVIR 7 HF DB,42.50225698,-72.21307701,249.124527,,,2017-08-03T15:21:40Z
QUEALB17 HF DB,42.47376697,-72.16898301,269.269745,,,2017-07-20T14:36:58Z
QUEALB18 HF DB,42.47276198,-72.16957401,281.943634,,,2017-07-20T15:31:10Z
QUEALB19 HF DB,42.49836903,-72.20654801,255.214905,,,2017-07-20T16:35:00Z
QUEALB20 HF DB,42.49879198,-72.20667701,254.196106,,,2017-07-20T16:52:00Z
QUERUB 26 HF DB,42.49954099,-72.21403004,234.009064,,,2017-08-03T13:13:20Z
QUERUB25HF DB,42.49876197,-72.213176,234.801758,,,2017-08-03T13:06:00Z
VACCOR 1 HF DB,42.49942901,-72.21405501,234.9263,,,2017-08-03T13:16:00Z
VACCOR 10 HF DB,42.50136799,-72.21352503,243.019058,,,2017-08-03T13:53:29Z
VACCOR 11 HF DB,42.501456,-72.21340299,241.952438,,,2017-08-03T13:55:49Z
VACCOR 2 HF DB,42.49949397,-72.21403004,236.122284,,,2017-08-03T13:18:29Z
VACCOR 3 HF DB,42.49975598,-72.21391998,238.779541,,,2017-08-03T13:22:37Z
VACCOR 4 HF DB,42.499673,-72.21391403,238.42601,,,2017-08-03T13:23:58Z
VACCOR 5 HF DB,42.50045101,-72.21384698,240.582611,,,2017-08-03T13:37:47Z
VACCOR 6 HF DB,42.50067799,-72.21397103,240.776932,,,2017-08-03T13:42:28Z
VACCOR 7 HF DB,42.50075703,-72.21391303,241.48584,,,2017-08-03T13:46:07Z
VACCOR 8 HF DB,42.50075703,-72.213938,240.092102,,,2017-08-03T13:47:59Z
VACCOR 9 HF DB,42.50081797,-72.21378101,241.489456,,,2017-08-03T13:50:34Z
VIBACE01 HF DB,42.47258998,-72.16983897,274.869934,,,2017-07-20T13:47:37Z
VIBACE02 HF DB,42.47273298,-72.16971299,276.043976,,,2017-07-20T13:48:56Z
VIBACE03 HF DB,42.47273097,-72.16955499,278.337372,,,2017-07-20T13:58:07Z
VIBACE06 HF DB,42.47290196,-72.16909801,275.509613,,,2017-07-20T14:20:41Z
VIBACE07 HF DB,42.47315803,-72.16914402,273.349091,,,2017-07-20T14:23:46Z
VIBACE08 HF DB,42.47297103,-72.16921301,276.630615,,,2017-07-20T15:24:00Z
VIBACE09 HF DB,42.49823802,-72.20641198,257.001892,,,2017-07-20T16:21:41Z
VIBACE10 HF DB,42.49834204,-72.206545,256.885773,,,2017-07-20T16:29:52Z
VIBACE11 HF DB,42.50011004,-72.206991,250.714615,,,2017-07-20T17:08:49Z
VIBACE4 HF DB,42.47272904,-72.16940202,277.876373,,,2017-07-20T14:02:18Z
VIBACE5 HF DB,42.472923,-72.16931803,275.886688,,,2017-07-20T14:06:06Z
VIBCAS13 HF DB,42.47233802,-72.169773,272.24234,,,2017-07-20T13:31:59Z
