"","genus","species","silvics_pollin","silvic_phen_seq","flower_class","av_fruit_time","locality","flower_time","flower_locality","shade","height","imputed","imputed_pred","name","pro","pol","fruit_bin","shade_bin","fruiting","pro2","pro3"
"44","Carya","myristiciformis","wind","syn","mono",10.5,"",4.5,"","intolerant",30,"N","N","Carya_myristiciformis",0,1,1,0,10.5,1,0
"45","Carya","tomentosa","wind","syn","mono",10.5,"",4.5,"","intolerant",30,"Y","N","Carya_tomentosa",0,1,1,0,10.5,1,0
"46","Juglans","cinerea","insect","syn","mono",9.5,"",5,"","intolerant",30,"N","N","Juglans_cinerea",0,0,1,0,9.5,1,0
"47","Juglans","nigra","wind","syn","mono",10,"",6,"north","intolerant",37,"N","N","Juglans_nigra",0,1,1,0,10,1,0
"48","Alnus","rubra","wind","pro/syn","mono",10.5,"",3,"","intolerant",40,"Y","flowertime","Alnus_rubra",1,1,1,0,10.5,1,0
"49","Ostrya","virginiana","wind","syn","mono",9,"range",6,"north","tolerant",12,"N","N","Ostrya_virginiana",0,1,1,1,9,1,0
"50","Carpinus","caroliniana","wind","syn","mono",10,"",4.5,"north","tolerant",11,"N","Fruit","Carpinus_caroliniana",0,1,1,1,10,1,0
"51","Betula","alleghaniensis","wind","syn","mono",9.5,"",5.5,"","medium_tolerant",30.5,"N","N","Betula_alleghaniensis",0,1,1,1,9.5,1,0
"52","Betula","lenta","wind","syn","mono",10,"",4.5,"","intolerant",24,"N","N","Betula_lenta",0,1,1,0,10,1,0
"53","Betula","nigra","wind","syn","mono",5.5,"",4.5,"","intolerant",24.4,"N","N","Betula_nigra",0,1,0,0,5.5,1,0
"54","Ulmus","serotina","wind","ser","perfect",10.5,"",9,"","tolerant",25,"N","N","Ulmus_serotina",0,1,1,1,10.5,0,0
"55","Ulmus","thomasii","wind","pro","perfect",5.5,"",4,"","medium_tolerant",27,"N","N","Ulmus_thomasii",1,1,0,1,5.5,1,1
"56","Ulmus","americana","wind","pro","perfect",4.5,"range",3.5,"range","medium_tolerant",38,"N","N","Ulmus_americana",1,1,0,1,4.5,1,1
"57","Ulmus","alata","wind","pro","perfect",4,"",3.5,"","tolerant",15,"N","N","Ulmus_alata",1,1,0,1,4,1,1
"58","Ulmus","crassifolia","wind","ser","perfect",9.5,"",8.5,"","medium_tolerant",30,"N","N","Ulmus_crassifolia",0,1,1,1,9.5,0,0
"59","Ulmus","rubra","wind","pro","perfect",5,"",3.5,"","tolerant",21.3,"N","N","Ulmus_rubra",1,1,0,1,5,1,1
"60","Celtis","occidentalis","wind","syn/ser","polygamo-mono",9.5,"",5,"north","medium_tolerant",40,"N","N","Celtis_occidentalis",0,1,1,1,9.5,0,0
"61","Celtis","laevigata","wind","syn","polygamo-mono",9.5,"",4,"","tolerant",30,"N","pol","Celtis_laevigata",0,1,1,1,9.5,1,0
