"Genus","species","tree_id","name","lat","lon","ele","CreationTime","DBH","locality","note","nomen","assignment","group","flask_id"
"Acer","pensylvanicum",19,"ACEPEN19 HF DB",42.53773699,-72.18650596,392.274872,"2017-07-20T18:49:43Z","5.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS0",3,"CS0_3"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS0",2,"WS0_2"
"Acer","pensylvanicum",16,"ACEPEN16 HF DB",42.53726701,-72.18648199,391.302887,"2017-07-20T18:41:20Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL1",7,"CL1_7"
"Acer","pensylvanicum",17,"ACEPEN17 HF DB",42.53774897,-72.18679103,393.042297,"2017-07-20T18:44:13Z","5","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS1",17,"WS1_17"
"Acer","pensylvanicum",16,"ACEPEN16 HF DB",42.53726701,-72.18648199,391.302887,"2017-07-20T18:41:20Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS0",15,"CS0_15"
"Acer","pensylvanicum",19,"ACEPEN19 HF DB",42.53773699,-72.18650596,392.274872,"2017-07-20T18:49:43Z","5.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL1",2,"WL1_2"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS1",9,"CS1_9"
"Acer","pensylvanicum",20,"ACEPEN20 HF DB",42.53847199,-72.185923,394.52301,"2017-07-20T18:53:48Z","6.2","prospect hill, enter by solar panels","","Acer_pensylvanicum","CL1",4,"CL1_4"
"Acer","pensylvanicum",15,"ACEPEN15 HF DB",42.53709099,-72.18658802,390.311676,"2017-07-20T18:39:30Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","WS0",22,"WS0_22"
"Acer","pensylvanicum",18,"ACEPEN18 HF DB",42.53767597,-72.186757,392.660248,"2017-07-20T18:45:51Z","6.1","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL0",1,"WL0_1"
"Acer","pensylvanicum",17,"ACEPEN17 HF DB",42.53774897,-72.18679103,393.042297,"2017-07-20T18:44:13Z","5","prospect hill, enter by solar panels","","Acer_pensylvanicum","WL0",21,"WL0_21"
"Acer","pensylvanicum",18,"ACEPEN18 HF DB",42.53767597,-72.186757,392.660248,"2017-07-20T18:45:51Z","6.1","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS1",6,"CS1_6"
"Acer","pensylvanicum",16,"ACEPEN16 HF DB",42.53726701,-72.18648199,391.302887,"2017-07-20T18:41:20Z","3.9","prospect hill, enter by solar panels","","Acer_pensylvanicum","CS0",19,"CS0_19"
