"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"236","7645","52.35,5.63333","5.63333","52.35","0","222","100","1908",124,NA,NA,"Prunus avium"
"239","7909","53.1,4.76667","4.76667","53.1","0","222","100","1908",128,NA,NA,"Prunus avium"
"240","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1908",124,NA,NA,"Prunus avium"
"242","7492","51.9833,5.91667","5.91667","51.9833","0","222","130","1908",125,NA,NA,"Prunus avium"
"243","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1908",107,NA,NA,"Prunus avium"
"244","7645","52.35,5.63333","5.63333","52.35","0","222","130","1908",122,NA,NA,"Prunus avium"
"247","7909","53.1,4.76667","4.76667","53.1","0","222","130","1908",129,NA,NA,"Prunus avium"
"248","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1908",124,NA,NA,"Prunus avium"
"249","7645","52.35,5.63333","5.63333","52.35","0","222","100","1909",116,NA,NA,"Prunus avium"
"252","7909","53.1,4.76667","4.76667","53.1","0","222","100","1909",121,NA,NA,"Prunus avium"
"253","7923","52.1,5.11667","5.11667","52.1","0","222","100","1909",119,NA,NA,"Prunus avium"
"254","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1909",114,NA,NA,"Prunus avium"
"255","7645","52.35,5.63333","5.63333","52.35","0","222","130","1909",116,NA,NA,"Prunus avium"
"258","7909","53.1,4.76667","4.76667","53.1","0","222","130","1909",119,NA,NA,"Prunus avium"
"259","7923","52.1,5.11667","5.11667","52.1","0","222","130","1909",120,NA,NA,"Prunus avium"
"260","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1909",115,NA,NA,"Prunus avium"
"261","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1910",100,NA,NA,"Prunus avium"
"262","7645","52.35,5.63333","5.63333","52.35","0","222","100","1910",104,NA,NA,"Prunus avium"
"266","7909","53.1,4.76667","4.76667","53.1","0","222","100","1910",115,NA,NA,"Prunus avium"
"267","7923","52.1,5.11667","5.11667","52.1","0","222","100","1910",113,NA,NA,"Prunus avium"
"268","7934","52,5.96667","5.96667","52","0","222","100","1910",107,NA,NA,"Prunus avium"
"269","7954","51.9667,5.68333","5.68333","51.9667","0","222","100","1910",107,NA,NA,"Prunus avium"
"270","7566","52.2667,6.16667","6.16667","52.2667","0","222","130","1910",102,NA,NA,"Prunus avium"
"273","7645","52.35,5.63333","5.63333","52.35","0","222","130","1910",105,NA,NA,"Prunus avium"
"275","7742","50.85,5.68333","5.68333","50.85","0","222","130","1910",71,NA,NA,"Prunus avium"
"277","7909","53.1,4.76667","4.76667","53.1","0","222","130","1910",105,NA,NA,"Prunus avium"
"278","7923","52.1,5.11667","5.11667","52.1","0","222","130","1910",113,NA,NA,"Prunus avium"
"279","7954","51.9667,5.68333","5.68333","51.9667","0","222","130","1910",104,NA,NA,"Prunus avium"
"281","7566","52.2667,6.16667","6.16667","52.2667","0","222","100","1911",110,NA,NA,"Prunus avium"
"282","7645","52.35,5.63333","5.63333","52.35","0","222","100","1911",112,NA,NA,"Prunus avium"
"283","7742","50.85,5.68333","5.68333","50.85","0","222","100","1911",105,NA,NA,"Prunus avium"
"287","7934","52,5.96667","5.96667","52","0","222","100","1911",111,NA,NA,"Prunus avium"
