name,GEN.SPA,good_flaskid,,,,
ACESAC17 HF DB,ACE.SAC,CL1_20,,,,
COMPER 1 HF DB,COM.PER,CL1_20,,,,
VACCOR 8 HF DB,VAC.COR,CL1_20,,,,
ACESAC17 HF DB,ACE.SAC,CL1_2,,,,
BETALL33 HF DB,BET.ALL,CL1_2,,,,
ILEVER07 HF DB,ILE.VER,CL1_2,,,,
ACESAC13 HF DB,ACE.SAC,CL1_19,,,,
PRUVIR 5 HF DB,PRU.VIR,CL1_19,,,,
VIBACE02 HF DB,VIB.ACE,CL1_19,,,,
ACERUB22 HF DB,ACE.RUB,CL1_18,,,,
PRUVIR 4 HF DB,PRU.VIR,CL1_18,,,,
VIBACE5 HF DB,VIB.ACE,CL1_18,,,,
ILEMUC 12 HF DB,ILE.MUC,CL1_17,,,,
PRUVIR 6 HF DB,PRU.VIR,CL1_17,,,,
VACCOR 2 HF DB,VAC.COR,CL1_17,,,,
ACEPEN20 HF DB,ACE.PEN,CL1_16,,,,
ACESAC18 HF DB,ACE.SAC,CL1_16,,,,
COMPER 1 HF DB,COM.PER,CL1_16,,,,
ACESAC19 HF DB,ACE.SAC,CL1_15,,,,
ILEVER09 HF DB1,ILE.VER,CL1_15,,,,
PRUPEN 21 HF DB,PRU.PEN,CL1_15,,,,
ACERUB27 HF DB,ACE.RUB,CL1_14,,,,
CORCOR09_HF,COR.COR,CL1_14,,,,
VACCOR 2 HF DB,VAC.COR,CL1_14,,,,
ACERUB26 HF DB,ACE.RUB,CL1_13,,,,
ILEMUC 11 HF DB,ILE.MUC,CL1_13,,,,
PRUVIR 6 HF DB,PRU.VIR,CL1_13,,,,
ACERUB22 HF DB,ACE.RUB,CL1_12,,,,
PRUVIR 7 HF DB,PRU.VIR,CL1_12,,,,
VIBACE10 HF DB,VIB.ACE,CL1_12,,,,
ACEPEN15 HF DB,ACE.PEN,CL1_11,,,,
ACERUB22 HF DB,ACE.RUB,CL1_11,,,,
PRUPEN 26 HF DB,PRU.PEN,CL1_11,,,,
BETALL31 HF DB,BET.ALL,CL1_10,,,,
PRUPEN 24 HF DB,PRU.PEN,CL1_10,,,,
VACCOR 6 HF DB,VAC.COR,CL1_10,,,,
BETALL26 HF DB,BET.ALL,CL1_1,,,,
CORCOR07_HF,COR.COR,CL1_1,,,,
VACCOR 1 HF DB,VAC.COR,CL1_1,,,,
BETALL32 HF DB,BET.ALL,CL0_9,,,,
ILEVER06 HF DB,ILE.VER,CL0_9,,,,
VACCOR 6 HF DB,VAC.COR,CL0_9,,,,
ACESAC19 HF DB,ACE.SAC,CL0_8,,,,
COMPER 1 HF DB,COM.PER,CL0_8,,,,
PRUVIR 5 HF DB,PRU.VIR,CL0_8,,,,
ACEPEN20 HF DB,ACE.PEN,CL0_7,,,,
ACERUB25 HF DB,ACE.RUB,CL0_7,,,,
ACESAC11 HF DB,ACE.SAC,CL0_7,,,,
ACEPEN18 HF DB,ACE.PEN,CL0_6,,,,
ACERUB25 HF DB,ACE.RUB,CL0_6,,,,
ILEMUC 10 HF DB,ILE.MUC,CL0_6,,,,
ACEPEN16 HF DB,ACE.PEN,CL0_5,,,,
ILEMUC 13 HF DB,ILE.MUC,CL0_5,,,,
VIBACE06 HF DB,VIB.ACE,CL0_5,,,,
BETALL32 HF DB,BET.ALL,CL0_4,,,,
COMPER 2 HF DB,COM.PER,CL0_4,,,,
PRUVIR 2 HF DB,PRU.VIR,CL0_4,,,,
COMPER 4 HF DB,COM.PER,CL0_3,,,,
CORCOR07_HF,COR.COR,CL0_3,,,,
ILEMUC 13 HF DB,ILE.MUC,CL0_3,,,,
COMPER 4 HF DB,COM.PER,CL0_24,,,,
PRUPEN17 HF DB,PRU.PEN,CL0_24,,,,
PRUVIR 4 HF DB,PRU.VIR,CL0_24,,,,
ACESAC12 HF DB,ACE.SAC,CL0_23,,,,
PRUPEN 23 HF DB,PRU.PEN,CL0_23,,,,
VACCOR 11 HF DB,VAC.COR,CL0_23,,,,
ACEPEN19 HF DB,ACE.PEN,CL0_22,,,,
ACESAC18 HF DB,ACE.SAC,CL0_22,,,,
VIBACE06 HF DB,VIB.ACE,CL0_22,,,,
ILEMUC 11 HF DB,ILE.MUC,CL0_21,,,,
PRUPEN 23 HF DB,PRU.PEN,CL0_21,,,,
VACCOR 3 HF DB,VAC.COR,CL0_21,,,,
ACEPEN17 HF DB,ACE.PEN,CL0_20,,,,
CORCOR10_HF,COR.COR,CL0_20,,,,
PRUVIR 2 HF DB,PRU.VIR,CL0_20,,,,
BETALL33 HF DB,BET.ALL,CL0_2,,,,
ILEVER04 HF DB,ILE.VER,CL0_2,,,,
PRUPEN 22 HF DB,PRU.PEN,CL0_2,,,,
ACERUB23 HF DB,ACE.RUB,CL0_19,,,,
PRUVIR 6 HF DB,PRU.VIR,CL0_19,,,,
VACCOR 11 HF DB,VAC.COR,CL0_19,,,,
COMPER 6 HF DB,COM.PER,CL0_18,,,,
ILEMUC 12 HF DB,ILE.MUC,CL0_18,,,,
VIBACE10 HF DB,VIB.ACE,CL0_18,,,,
ACERUB23 HF DB,ACE.RUB,CL0_17,,,,
BETALL31 HF DB,BET.ALL,CL0_17,,,,
CORCOR 16 HF DB,COR.COR,CL0_17,,,,
CORCOR09_HF,COR.COR,CL0_16,,,,
VACCOR 1 HF DB,VAC.COR,CL0_16,,,,
VIBACE01 HF DB,VIB.ACE,CL0_16,,,,
BETALL34 HF DB,BET.ALL,CL0_15,,,,
CORCOR07_HF,COR.COR,CL0_15,,,,
ILEVER04 HF DB,ILE.VER,CL0_15,,,,
ACERUB26 HF DB,ACE.RUB,CL0_14,,,,
BETALL26 HF DB,BET.ALL,CL0_14,,,,
VIBACE4 HF DB,VIB.ACE,CL0_14,,,,
PRUPEN 24 HF DB,PRU.PEN,CL0_13,,,,
PRUVIR 7 HF DB,PRU.VIR,CL0_13,,,,
VACCOR 10 HF DB,VAC.COR,CL0_13,,,,
ACESAC11 HF DB,ACE.SAC,CL0_12,,,,
CORCOR09_HF,COR.COR,CL0_12,,,,
ILEVER08 HF DB,ILE.VER,CL0_12,,,,
ACEPEN17 HF DB,ACE.PEN,CL0_11,,,,
ACESAC11 HF DB,ACE.SAC,CL0_11,,,,
ILEVER05 HF DB,ILE.VER,CL0_11,,,,
ILEMUC 12 HF DB,ILE.MUC,CL0_10,,,,
ILEVER07 HF DB,ILE.VER,CL0_10,,,,
VIBACE06 HF DB,VIB.ACE,CL0_10,,,,
ACERUB27 HF DB,ACE.RUB,CL0_1,,,,
COMPER 2 HF DB,COM.PER,CL0_1,,,,
PRUPEN 21 HF DB,PRU.PEN,CL0_1,,,,
