name,GEN.SPA,good_flaskid,,,,
ILEVER 5 HF DB,ILE.VER,WS1_14,,,,
COMPER 3 HF DB,COM.PER,WS1_13,,,,
PRUVIR 4 HF DB,PRU.VIR,WS1_13,,,,
VACCOR 1 HF DB,VAC.COR,WS1_13,,,,
COMPER 3 HF DB,COM.PER,WS1_12,,,,
CORCOR10_HF,COR.COR,WS1_12,,,,
ILEMUC 12 HF DB,ILE.MUC,WS1_12,,,,
BETALL26 HF DB,BET.ALL,WS1_11,,,,
COMPER 2 HF DB,COM.PER,WS1_11,,,,
PRUPEN 22 HF DB,PRU.PEN,WS1_11,,,,
BETALL32 HF DB,BET.ALL,WS1_10,,,,
COMPER 3 HF DB,COM.PER,WS1_10,,,,
PRUPEN17 HF DB,PRU.PEN,WS1_10,,,,
ACERUB25 HF DB,ACE.RUB,WS1_1,,,,
ILEMUC 14 HF DB,ILE.MUC,WS1_1,,,,
VIBACE07 HF DB,VIB.ACE,WS1_1,,,,
BETALL25 HF DB,BET.ALL,WS0_9,,,,
COMPER 3 HF DB,COM.PER,WS0_9,,,,
VIBACE 7 HF DB,VIB.ACE,WS0_9,,,,
ACESAC12 HF DB,ACE.SAC,WS0_8,,,,
ILEVER01 HF DB,ILE.VER,WS0_8,,,,
VACCOR 5 HF DB,VAC.COR,WS0_8,,,,
ACEPEN24 HF DB,ACE.PEN,WS0_7,,,,
ACESAC18 HF DB,ACE.SAC,WS0_7,,,,
PRUVIR 5 HF DB,PRU.VIR,WS0_7,,,,
CORCOR 17 HF DB,COR.COR,WS0_6,,,,
ILEVER05 HF DB,ILE.VER,WS0_6,,,,
PRUPEN 24 HF DB,PRU.PEN,WS0_6,,,,
BETALL25 HF DB,BET.ALL,WS0_5,,,,
ILEMUC 9 HF DB,ILE.MUC,WS0_5,,,,
VIBACE09 HF DB,VIB.ACE,WS0_5,,,,
BETALL25 HF DB,BET.ALL,WS0_4,,,,
CORCOR 16 HF DB,COR.COR,WS0_4,,,,
ILEVER07 HF DB,ILE.VER,WS0_4,,,,
ACEPEN15 HF DB,ACE.PEN,WS0_3,,,,
ACERUB26 HF DB,ACE.RUB,WS0_3,,,,
ILEMUC 13 HF DB,ILE.MUC,WS0_3,,,,
BETALL33 HF DB,BET.ALL,WS0_24,,,,
ILEVER03 HF DB,ILE.VER,WS0_24,,,,
VACCOR 89 HF DB,VAC.COR,WS0_24,,,,
ACERUB23 HF DB,ACE.RUB,WS0_23,,,,
ILEVER ? HF DB,ILE.VER,WS0_23,,,,
VACCOR 3 HF DB,VAC.COR,WS0_23,,,,
ACEPEN15 HF DB,ACE.PEN,WS0_22,,,,
ILEVER03 HF DB,ILE.VER,WS0_22,,,,
PRUPEN 22 HF DB,PRU.PEN,WS0_22,,,,
ACESAC13 HF DB,ACE.SAC,WS0_21,,,,
COMPER 6 HF DB,COM.PER,WS0_21,,,,
PRUVIR 4 HF DB,PRU.VIR,WS0_21,,,,
ILEMUC 9 HF DB,ILE.MUC,WS0_20,,,,
PRUPEN 22 HF DB,PRU.PEN,WS0_20,,,,
VIBACE10 HF DB,VIB.ACE,WS0_20,,,,
ACEPEN15 HF DB,ACE.PEN,WS0_2,,,,
COMPER 8 HF DB,COM.PER,WS0_2,,,,
