"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset","taxa"
"467","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1955",125,129,4,"Betula pendula"
"473","4735","51.45,13.4","13.4","51.45","90","106","20","1955",125,130,5,"Betula pendula"
"474","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1955",121,119,-2,"Betula pendula"
"490","4914","52.1,13.1833","13.1833","52.1","50","106","20","1955",121,125,4,"Betula pendula"
"493","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1955",118,122,4,"Betula pendula"
"497","4978","52.4,13.2","13.2","52.4","50","106","20","1955",121,119,-2,"Betula pendula"
"505","5199","53.2667,11.3167","11.3167","53.2667","20","106","20","1955",130,122,-8,"Betula pendula"
"512","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1955",121,120,-1,"Betula pendula"
"514","4680","52.3833,13.6167","13.6167","52.3833","45","106","20","1956",121,121,0,"Betula pendula"
"516","4686","52.4333,12.5","12.5","52.4333","30","106","20","1956",125,125,0,"Betula pendula"
"518","4697","53.0333,14","14","53.0333","50","106","20","1956",124,127,3,"Betula pendula"
"520","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1956",138,139,1,"Betula pendula"
"524","4735","51.45,13.4","13.4","51.45","90","106","20","1956",129,124,-5,"Betula pendula"
"525","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1956",128,126,-2,"Betula pendula"
"533","4848","52.9833,13.35","13.35","52.9833","45","106","20","1956",131,129,-2,"Betula pendula"
"541","4914","52.1,13.1833","13.1833","52.1","50","106","20","1956",127,140,13,"Betula pendula"
"545","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1956",123,130,7,"Betula pendula"
"548","4948","52.8333,12.9833","12.9833","52.8333","40","106","20","1956",93,125,32,"Betula pendula"
"551","4978","52.4,13.2","13.2","52.4","50","106","20","1956",115,124,9,"Betula pendula"
"564","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1956",131,119,-12,"Betula pendula"
"570","4687","51.7833,14.3167","14.3167","51.7833","70","106","20","1957",96,99,3,"Betula pendula"
"571","4697","53.0333,14","14","53.0333","50","106","20","1957",105,118,13,"Betula pendula"
"572","4714","52.7333,14.2167","14.2167","52.7333","5","106","20","1957",118,120,2,"Betula pendula"
"579","4735","51.45,13.4","13.4","51.45","90","106","20","1957",99,110,11,"Betula pendula"
"580","4740","51.9833,14.3","14.3","51.9833","47","106","20","1957",123,101,-22,"Betula pendula"
"581","4741","52.2167,14.1167","14.1167","52.2167","100","106","20","1957",96,96,0,"Betula pendula"
"595","4914","52.1,13.1833","13.1833","52.1","50","106","20","1957",114,111,-3,"Betula pendula"
"596","4932","52.8167,12.7833","12.7833","52.8167","35","106","20","1957",118,115,-3,"Betula pendula"
"598","4978","52.4,13.2","13.2","52.4","50","106","20","1957",97,96,-1,"Betula pendula"
"610","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1957",98,96,-2,"Betula pendula"
"613","4691","52.3833,13.05","13.05","52.3833","35","106","20","1958",122,123,1,"Betula pendula"
"616","4789","52.8333,13.8333","13.8333","52.8333","40","106","20","1958",127,133,6,"Betula pendula"
"622","4942","52.9,12.8167","12.8167","52.9","40","106","20","1958",124,121,-3,"Betula pendula"
"628","4978","52.4,13.2","13.2","52.4","50","106","20","1958",126,127,1,"Betula pendula"
"640","5048","53.2167,13.3333","13.3333","53.2167","70","106","20","1958",128,127,-1,"Betula pendula"
"644","5074","54.1,13.4","13.4","54.1","2","106","20","1958",113,133,20,"Betula pendula"
"646","5084","53.5833,11.4167","11.4167","53.5833","45","106","20","1958",60,126,66,"Betula pendula"
"650","5103","53.7667,13.7833","13.7833","53.7667","10","106","20","1958",137,136,-1,"Betula pendula"
"651","5109","54.1,11.9","11.9","54.1","15","106","20","1958",136,128,-8,"Betula pendula"
"659","5159","53.7833,12.2","12.2","53.7833","10","106","20","1958",119,133,14,"Betula pendula"
"668","5529","51.4333,14.2167","14.2167","51.4333","118","106","20","1958",124,122,-2,"Betula pendula"
"669","5963","51.9167,11.3667","11.3667","51.9167","100","106","20","1958",120,121,1,"Betula pendula"
"670","4691","52.3833,13.05","13.05","52.3833","35","106","20","1959",104,103,-1,"Betula pendula"
"672","4708","53.15,14.1167","14.1167","53.15","15","106","20","1959",106,109,3,"Betula pendula"
"679","4942","52.9,12.8167","12.8167","52.9","40","106","20","1959",104,101,-3,"Betula pendula"
"683","4979","52.2833,13.0333","13.0333","52.2833","50","106","20","1959",124,103,-21,"Betula pendula"
"697","5103","53.7667,13.7833","13.7833","53.7667","10","106","20","1959",129,121,-8,"Betula pendula"
"698","5109","54.1,11.9","11.9","54.1","15","106","20","1959",105,105,0,"Betula pendula"
"714","4691","52.3833,13.05","13.05","52.3833","35","106","20","1960",110,111,1,"Betula pendula"
"716","4708","53.15,14.1167","14.1167","53.15","15","106","20","1960",119,124,5,"Betula pendula"
"719","4789","52.8333,13.8333","13.8333","52.8333","40","106","20","1960",118,130,12,"Betula pendula"
