"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",10248409,"HXC",1973,4,15,"1973-04-15","Arkansas","lee","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10248409",-90.7740180933498,34.7829489325652,"county_centroid"
"mexicana",13573885,"TEX",1947,4,7,"1947-04-07","Texas","grayson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573885",-96.683078019833,33.6263792831409,"county_centroid"
"mexicana",12509353,"WCUH",NA,NA,NA,"","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353",-92.1593802032179,32.4833014034865,"county_centroid"
"mexicana",10246804,"APCR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246804",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",12877117,"UARK",1978,9,28,"1978-09-28","Arkansas","jefferson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877117",-91.9317523534047,34.2758679338275,"county_centroid"
"mexicana",23732238,"Harvard",1910,5,25,"1910-05-25","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732238",NA,NA,"county_centroid"
"mexicana",12877116,"UARK",1976,5,9,"1976-05-09","Arkansas","jefferson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877116",-91.9317523534047,34.2758679338275,"county_centroid"
"mexicana",23732330,"Harvard",1910,0,0,"1910-00-00","Texas","bexar ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732330",NA,NA,"county_centroid"
"mexicana",23732360,"Harvard",1910,3,26,"1910-03-26","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732360",NA,NA,"county_centroid"
"mexicana",23732395,"Harvard",1947,6,11,"1947-06-11","Texas","tarrant ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732395",NA,NA,"county_centroid"
"mexicana",23732281,"Harvard",1910,9,13,"1910-09-13","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732281",NA,NA,"county_centroid"
"mexicana",23732201,"Harvard",1913,4,14,"1913-04-14","Oklahoma","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732201",NA,NA,"county_centroid"
"mexicana",12508929,"DUKE",NA,NA,NA,"","Louisiana","west feliciana","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508929",-91.4212571543447,30.882361065208,"county_centroid"
"mexicana",23732434,"Harvard",1910,3,24,"1910-03-24","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732434",NA,NA,"county_centroid"
"mexicana",25876702,"TAC",2010,3,27,"2010-03-27","Texas","mills","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876702",-98.607098153266,31.4980121092275,"county_centroid"
"mexicana",22620181,"KANU",1965,8,19,"1965-08-19","Kansas","Greenwood","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620181",-96.088894,37.669531,"geo_referenced"
