"id","name","GEN.SPA","Force","Light","Chill","good_flaskid","LBB","L11","L15","F60"
"ACEPEN14 HF DB_WS0_10","ACEPEN14 HF DB","ACE.PEN","W","L",0,"WS0_10",65,73,76,NA
"ILEMUC 12 HF DB_WS0_10","ILEMUC 12 HF DB","ILE.MUC","W","L",0,"WS0_10",50,82,63,63
"VIBACE07 HF DB_WS0_10","VIBACE07 HF DB","VIB.ACE","W","L",0,"WS0_10",NA,NA,NA,NA
"ACERUB29 HF DB_WS0_1","ACERUB29 HF DB","ACE.RUB","W","L",0,"WS0_1",NA,NA,NA,NA
"CORCOR08_HF_WS0_1","CORCOR08_HF","COR.COR","W","L",0,"WS0_1",73,79,NA,NA
"VACCOR 11 HF DB_WS0_1","VACCOR 11 HF DB","VAC.COR","W","L",0,"WS0_1",16,19,26,21
"ACERUB22 HF DB_WL0_9","ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_9",NA,NA,NA,NA
"BETALL25 HF DB_WL0_9","BETALL25 HF DB","BET.ALL","W","S",0,"WL0_9",NA,52,61,NA
"ILEMUC 13 HF DB_WL0_9","ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_9",NA,NA,NA,NA
"ACERUB25 HF DB_WL0_8","ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_8",NA,NA,NA,NA
"CORCOR06 HF_WL0_8","CORCOR06 HF","COR.COR","W","S",0,"WL0_8",NA,NA,NA,NA
"ILEMUC 9 HF DB_WL0_8","ILEMUC 9 HF DB","ILE.MUC","W","S",0,"WL0_8",90,NA,NA,NA
"PRUPEN 23 HF DB_WL0_7","PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_7",33,45,54,NA
"PRUVIR 5 HF DB_WL0_7","PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_7",16,19,21,NA
"VIBACE04 HF DB_WL0_7","VIBACE04 HF DB","VIB.ACE","W","S",0,"WL0_7",42,NA,NA,NA
"PRUVIR 7 HF DB_WL0_6","PRUVIR 7 HF DB","AME.SPP","W","S",0,"WL0_6",NA,NA,NA,NA
"VACCOR 1 HF DB_WL0_6","VACCOR 1 HF DB","VAC.COR","W","S",0,"WL0_6",16,47,54,26
"VIBACE02 HF DB_WL0_6","VIBACE02 HF DB","VIB.ACE","W","S",0,"WL0_6",NA,NA,NA,NA
"ACESAC12 HF DB_WL0_5","ACESAC12 HF DB","ACE.SAC","W","S",0,"WL0_5",NA,NA,NA,NA
"BETALL26 HF DB_WL0_5","BETALL26 HF DB","BET.ALL","W","S",0,"WL0_5",47,58,63,NA
"ILEMUC 13 HF DB_WL0_5","ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_5",NA,NA,NA,NA
"CORCOR 16 HF DB_WL0_4","CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_4",NA,NA,NA,NA
