specificEpithet,id,references,obs_number,,,,,,pental_lengh_mm,who_done_it,note
mexicana,12877072,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877081,10,1.189,149.167,111.667,160.333,71.565,4.626,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025,1,1.071,154.112,77.667,170.651,66.371,4.26,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877026,2,1.19,155.025,113.667,169.807,11.889,4.736,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877027,3,1.428,150.81,117.667,161.931,61.189,5.567,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877028,4,1.487,145.947,94,175.667,90,5.854,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877029,5,1.249,155.032,106.333,170.667,180,4.878,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877030,6,1.368,160.693,93.333,181.008,56.31,5.276,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877031,7,1.19,159.726,143.691,174.667,-141.34,4.685,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877032,8,1.368,155.709,87,165.667,-155.772,5.349,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877033,9,1.725,178.287,159.667,196.333,90,6.829,SC,
mexicana,12877025,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877034,10,1.071,155.011,128,168.667,-45,4.139,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436,1,1.003,182.511,165.889,211,-59.036,3.239,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437,2,1.62,167.571,83,223.667,180,5.556,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535438,3,1.312,144.373,34.333,198.75,-165.964,4.581,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439,4,1.775,170.258,151.835,189.427,63.435,6.211,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440,5,1.698,164.052,121.742,186.481,163.301,5.8,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535441,6,1.235,138.536,95,156.556,-113.199,4.231,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535442,7,1.389,161.805,113.333,174.7,-69.444,4.747,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535443,8,1.389,180.702,168.587,202,135,4.714,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535444,9,1.775,172.302,123.667,205.667,95.194,6.136,SC,
mexicana,11535436,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535445,10,1.466,163.305,150.407,171.889,49.399,5.122,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188,1,0.367,195.739,160.69,227,135,4.041,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189,2,0.319,170.247,39,214.56,23.962,3.517,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620190,3,0.263,126.03,56.562,218.771,-60.255,2.879,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620191,4,0.375,161.602,126.423,190.667,15.255,4.072,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620192,5,0.271,221.186,210.852,229.667,14.036,2.945,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620193,6,0.295,166.108,136.333,199.667,90,3.214,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620194,7,0.239,206.524,173.786,223.668,-74.055,2.6,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195,8,0.231,194.552,123,218.667,90,2.5,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620196,9,0.423,189.103,104.333,209.067,57.529,4.657,SC,
mexicana,22620188,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620197,10,0.295,176.096,141.333,198,-26.565,3.194,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573885,1,0.793,119.934,88.667,139.667,94.399,3.104,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573886,2,0.907,132.292,113.867,152.2,11.31,3.641,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573887,3,0.68,117.292,85.664,135,-153.435,2.661,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573888,4,0.907,110.208,94,133,-90,3.57,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573889,5,0.68,118.961,99,134,-146.31,2.575,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573890,6,0.963,135.324,91.625,180.333,82.875,3.838,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573891,7,0.567,139.573,130.642,156.667,-110.556,2.034,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573892,8,0.793,128.042,81.667,142.558,57.529,3.104,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573893,9,0.85,125.459,71,147.293,140.711,3.383,SC,
mexicana,13573885,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573894,10,0.793,129.473,108.333,148.116,-32.471,3.104,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811,1,1.939,223.504,211.667,231,-138.013,7.081,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812,2,1.662,210.376,173.667,224.667,-164.745,6.001,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246813,3,1.801,224.778,220.106,227.816,-68.629,6.5,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246814,4,1.731,211.69,203.278,218.333,-85.236,6.338,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246815,5,1.801,217.949,211.4,230.667,87.709,6.584,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246816,6,1.731,211.261,198,220.856,70.821,6.408,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246817,7,2.078,208.883,133.333,230.667,26.565,7.65,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246818,8,1.593,216.319,206,223.074,153.435,5.884,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246819,9,2.078,214.85,203.953,237.333,72.181,7.74,SC,
mexicana,10246811,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246820,10,2.216,200.352,189.2,220.667,47.603,8.196,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915,1,0.332,211.359,172,226.463,118.61,4.042,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646916,2,0.299,190.022,152.002,237.333,100.305,3.607,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646917,3,0.384,214.438,171.026,231.319,74.055,4.697,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646918,4,0.338,206.587,189,217.2,-161.565,4.08,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646919,5,0.377,208.458,98.333,231.52,39.289,4.585,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646920,6,0.345,200.852,187.6,212.667,-147.529,4.206,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646921,7,0.247,180.539,156.334,206.987,-139.399,2.974,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646922,8,0.325,229.443,213.524,233.828,-145.008,3.938,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646923,9,0.325,180.177,119.399,206.746,170.538,3.924,SC,
mexicana,22646915,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646924,10,0.267,208.819,171.653,223.56,-53.13,3.226,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867,1,1.814,205.096,174,215.587,42.397,7.415,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465868,2,1.871,201.561,121.333,222.654,126.158,7.667,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465869,3,1.417,195.744,182.333,208.537,-145.008,5.813,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465870,4,1.814,198.012,182.979,204.801,-163.301,7.457,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465871,5,1.417,202.233,190.667,212.667,99.462,5.793,SC,
mexicana,5465867,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465872,6,1.247,190.17,164,212.333,-154.654,5.006,SC,
