"specificEpithet","id","references"
"umbellata",19396572,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19396572"
"umbellata",6774906,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6774906"
"umbellata",19701727,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19701727"
"umbellata",9328130,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9328130"
"umbellata",24926094,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24926094"
"umbellata",5676689,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5676689"
"umbellata",25330494,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25330494"
"umbellata",9177349,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9177349"
"gracilis",22667131,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22667131"
"gracilis",13497847,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497847"
"gracilis",24641974,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641974"
"gracilis",13573847,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573847"
"gracilis",16787698,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16787698"
"gracilis",13273941,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273941"
"gracilis",24663402,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24663402"
"gracilis",13422256,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422256"
"gracilis",22705276,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22705276"
"gracilis",22471776,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22471776"
"gracilis",22524100,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22524100"
"gracilis",16666808,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666808"
"gracilis",9176735,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176735"
"gracilis",22698461,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22698461"
"gracilis",11535251,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535251"
"gracilis",25286605,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25286605"
"gracilis",22661957,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22661957"
