"specificEpithet","id","references"
"munsoniana",16920165,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920165"
"munsoniana",19446379,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446379"
"munsoniana",19451488,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19451488"
"munsoniana",19451485,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19451485"
"munsoniana",3848967,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848967"
"munsoniana",6816190,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816190"
"munsoniana",21268902,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268902"
"munsoniana",13271296,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13271296"
"munsoniana",22620154,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620154"
"munsoniana",12911714,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911714"
"texana",5734266,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734266"
"texana",13497914,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497914"
"texana",19452747,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19452747"
"texana",13283622,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13283622"
"texana",19452746,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19452746"
"texana",19452744,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19452744"
"maritima",20412420,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412420"
"maritima",20412795,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412795"
"maritima",24051683,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24051683"
"maritima",20412796,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412796"
"maritima",20412754,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412754"
"maritima",20412752,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412752"
"maritima",24122092,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24122092"
