specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,fruit,leaves,bbch.f,bbch.v,flagged,note,flagged_question,question_note,entered_by,imput_date/GPS
mexicana,13497861,TEX,1946,7,3,1946-07-03,Texas,erath,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497861,-98.20641171,32.24077504,county_centroid,N,N,Y,,,,,,,SC,
mexicana,16080356,FLAS,2012,4,7,2012-04-07,Kansas,Sedgwick,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080356,-97.2678,37.7429,geo_referenced,N,Y,Y,89,17,,,,,SC,
mexicana,10246785,APCR,1971,4,3,1971-04-03,Arkansas,scott,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785,-94.0745859,34.86653654,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,11535437,LSU,1981,5,28,1981-05-28,Arkansas,montgomery,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437,-93.65831855,34.54772903,county_centroid,N,Y,Y,89,19,,,,,SC,
mexicana,19212183,UCHT,2002,3,16,2002-03-16,Texas,austin,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212183,-96.28068897,29.89023645,county_centroid,N,N,Y,,,,,,,SC,date
mexicana,5465867,EKY,1977,4,16,1977-04-16,Kentucky,harrison,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867,-84.33002821,38.4375269,county_centroid,Y,N,N,65,0,Y,more than one collection date,,,SC,
mexicana,5894933,MISS,1976,3,13,1976-03-13,Mississippi,tishomingo,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933,-88.24452228,34.74392738,county_centroid,Y,N,N,65,0,,,,,SC,
mexicana,6260292,MISS,2000,8,19,2000-08-19,Mississippi,yalobusha,https://midwestherbaria.org/portal/collections/individual/index.php?occid=6260292,-89.70412425,34.02980354,county_centroid,N,N,Y,,,,,,,SC,
mexicana,21186194,ANHC,2009,10,21,2009-10-21,Arkansas,perry,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186194,-92.9415163,34.94234579,county_centroid,N,N,Y,,,,,,,SC,
mexicana,12911681,UARK,1982,3,19,1982-03-19,Arkansas,scott,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911681,-94.0745859,34.86653654,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,5894913,MISS,1967,5,26,1967-05-26,Mississippi,kemper,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894913,-88.64154163,32.75414549,county_centroid,N,N,Y,,,,,,,SC,
mexicana,10246811,APCR,1998,3,28,1998-03-28,Arkansas,pope,https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811,-93.03339602,35.44081908,county_centroid,Y,N,N,65,0,,,,,SC,date
mexicana,22504781,KANU,2006,5,11,2006-05-11,Kansas,Anderson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22504781,-95.26588,38.17268,geo_referenced,N,Y,Y,89,19,,,,,SC,
