specificEpithet,id,references,fruit_type,obs_number,,,,,,fruit_diam_mm,who_done_it,note,certain
americana,4991690,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4991693,fleshy,4,3.355,102.616,58.419,159.577,81.754,15.157,SC,,
americana,5465774,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465774,dried,1,3.867,162.517,65.839,221.396,146.064,15.728,SC,,
americana,5803595,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5803595,pit,1,4.76,17.396,8.679,68.806,141.34,8.149,SC,,
americana,5894074,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894074,fleshy,1,12.054,30.466,11.239,216.833,179.076,22.146,SC,,
americana,13273686,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273686,pit,1,0.813,53.047,43.733,104.333,57.529,3.142,SC,would this be pit? at the end of flowering,U
americana,13273686,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273687,pit,2,1.394,59.71,52.524,73.583,-75.964,5.464,SC,,U
americana,13273686,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273688,pit,3,0.987,49.024,34.086,149.167,28.179,3.827,SC,,U
americana,13273686,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273689,pit,4,0.987,46.917,34.823,67.333,-91.79,3.857,SC,,U
americana,19850892,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19850892,dried,1,2.564,36.275,18.913,101.837,41.76,9.625,SC,pit or dried?,U
americana,19850892,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19850893,dried,2,2.433,31.931,14.667,209.333,80.538,9.358,SC,,U
americana,21298176,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21298176,dried,1,4.132,43.082,24.505,124.708,157.834,13.252,SC,,
americana,20393204,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393204,,,,,,,,,SC,doesn't have any fruit,
americana,19444193,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444193,pit,1,1.901,49.735,36.716,145.139,53.011,7.712,SC,or dried?,U
americana,13273109,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273109,fleshy,1,3.629,68.54,40.889,166.833,131.634,14.685,SC,,
americana,3849054,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3849054,fleshy,1,4.811,36.27,17.761,95.333,36.225,15.91,SC,,
americana,22694761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694761,dried,1,0.61,46.776,32.469,80.302,-55.176,7.123,SC,,
americana,22694761,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694762,dried,2,0.56,50.213,32.167,136.632,117.897,6.52,SC,,
americana,4979191,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4979191,dried,1,0.61,46.776,32.469,80.302,-55.176,7.123,SC,,
americana,4979191,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4979192,dried,2,0.56,50.213,32.167,136.632,117.897,6.52,SC,,
americana,3836818,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3836818,fleshy,1,3.629,86.002,44,150,164.578,14.675,SC,,
americana,13273822,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273822,fleshy,1,2.75,43.693,35.389,54.022,68.199,10.77,SC,,
americana,13273822,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273823,fleshy,2,2.938,39.965,29.759,59.297,132.357,11.503,SC,,
americana,13273822,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273824,fleshy,3,2.812,44.215,34.558,140.426,-64.592,11.071,SC,,
americana,13273822,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273825,fleshy,4,2.75,41.329,25.698,91.389,40.314,10.82,SC,,
americana,13273822,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273826,fleshy,5,2.625,54.005,40.961,146.556,30.964,10.204,SC,,
americana,19444199,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444199,dried,1,3.438,72.79,45.241,96.139,-87.879,13.509,SC,,
americana,19444199,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444200,dried,2,3.25,77.956,58.765,147.056,48.18,12.748,SC,,
americana,19444199,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444201,dried,3,3.562,65.25,28.891,121.981,42.825,13.975,SC,,
americana,19444199,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19444202,dried,4,3.562,79.709,51.197,132.333,-163.496,14.08,SC,,
americana,5894064,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894064,fleshy,1,8.331,28.898,15.385,137,-70.017,14.897,SC,,
americana,5894064,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894065,fleshy,2,8.628,36.973,8.944,61.78,-152.21,15.209,SC,,
americana,5894064,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894066,fleshy,3,8.628,24.657,8.605,35.627,0.69,15.092,SC,,
americana,19211306,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211306,,,,,,,,,SC,no fruit,
angustifolia,15948322,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948322,dried,1,3.809,30.92,14.246,142,167.242,14.3,SC,,
angustifolia,15948322,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948323,dried,2,3.878,33.55,20.536,60.333,167.471,14.557,SC,,
